Taxon	SRR1515143	SRR1515152	SRR1515153	SRR1515154	SRR1515157	SRR1515158	SRR1515163	SRR1515164	SRR1515167	SRR1515169	SRR1515170	SRR1515171	SRR1515172	SRR1515173	SRR1515174	SRR1515175	SRR1515176	SRR1515177	SRR1515178	SRR1515179	SRR1515180	SRR1515181	SRR1515182	SRR1515183
Class:Actinobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	477.0	0.0	0.0	0.0	0.0	0.0
Class:Bacilli	2823.0	6529.0	12119.0	3873.0	2514.0	96.0	0.0	999.0	735.0	190.0	5051.0	0.0	580.0	3496.0	8.0	3939.0	52.0	50.0	580.0	749.0	328.0	165.0	221.0	101.0
Class:Bacteroidia	55.0	36.0	1594.0	178.0	74.0	880.0	391.0	428.0	559.0	517.0	2728.0	757.0	0.0	375.0	734.0	0.0	847.0	2513.0	807.0	225.0	507.0	108.0	1219.0	190.0
Class:Campylobacteria	98.0	122.0	176.0	223.0	194.0	406.0	588.0	52.0	178.0	494.0	196.0	50.0	23.0	210.0	471.0	174.0	245.0	470.0	32.0	22.0	91.0	0.0	57.0	37.0
Class:Clostridia	0.0	480.0	30.0	807.0	38.0	92.0	511.0	54.0	185.0	150.0	385.0	136.0	65.0	314.0	739.0	329.0	0.0	556.0	0.0	0.0	81.0	0.0	75.0	0.0
Class:Fusobacteriia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	51.0	133.0	0.0	407.0	0.0
Class:Gammaproteobacteria	12140.0	450.0	12608.0	289.0	4517.0	9128.0	3011.0	4098.0	2374.0	5379.0	9604.0	14343.0	1361.0	5907.0	8358.0	10603.0	807.0	7837.0	827.0	193.0	178.0	995.0	564.0	241.0
Class:Negativicutes	2866.0	27803.0	15151.0	26037.0	4227.0	14203.0	10106.0	17156.0	75.0	30643.0	0.0	0.0	0.0	0.0	0.0	0.0	48719.0	40.0	1751.0	1836.0	1200.0	1835.0	3226.0	1540.0
Class:Saccharimonadia	0.0	0.0	529.0	0.0	26.0	600.0	34.0	374.0	194.0	66.0	15.0	102.0	28.0	0.0	141.0	0.0	58.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0
Unclassified_Class	273088.0	164789.0	169030.0	180787.0	143705.0	103401.0	160271.0	111654.0	39307.0	106852.0	113687.0	80367.0	30402.0	78450.0	102684.0	216270.0	195719.0	210524.0	61407.0	15962.0	53426.0	51101.0	84739.0	89056.0
