taxon	prevalence	mean_relative_abundance	total_count	kept
Class:Actinobacteria	0.125	0.0003503796162558028	618.0	True
Class:Alphaproteobacteria	0.125	6.993872884388473e-05	64.0	False
Class:Bacilli	0.9166666666666666	0.013922168219760589	45198.0	True
Class:Bacteroidia	0.9166666666666666	0.0059399839881659625	15722.0	True
Class:Blastocatellia	0.041666666666666664	4.294057025077293e-06	30.0	False
Class:Campylobacteria	0.9583333333333334	0.0014953577799964605	4609.0	True
Class:Clostridia	0.75	0.0016047659212597612	5027.0	True
Class:Coriobacteriia	0.041666666666666664	1.1965765943635258e-05	64.0	False
Class:Embryophyta	0.041666666666666664	0.00010395259163533131	556.0	False
Class:Fusobacteriia	0.16666666666666666	0.00048378734202965705	727.0	True
Class:Gammaproteobacteria	1.0	0.03694410387973878	115812.0	True
Class:Negativicutes	0.75	0.05450857948295986	208414.0	True
Class:Saccharimonadia	0.5416666666666666	0.0008266140341939798	2415.0	True
Unclassified_Class	1.0	0.8837341085921914	2836678.0	True
