analysis_sample_id	Observed	Shannon	Simpson	Chao1
SRR1515143	6	0.28710952452547533	0.11781052967902206	6.0
SRR1515152	7	0.580273969866523	0.3021717667783097	7.0
SRR1515153	8	0.758612205206724	0.347631556823946	8.0
SRR1515154	7	0.5103026011799765	0.25870689424648863	7.0
SRR1515157	8	0.3550011241103109	0.14184348899072496	8.0
SRR1515158	8	0.6948357764084883	0.3383075875745999	8.0
SRR1515163	7	0.36625666502173865	0.15674391976829216	7.0
SRR1515164	9	0.6076370113612659	0.2979843947229569	9.0
SRR1515167	8	0.45737624022327084	0.18402286814249935	8.0
SRR1515169	8	0.733125785584114	0.4050953352750378	8.0
SRR1515170	7	0.5509353268009392	0.24722192270244492	7.0
SRR1515171	6	0.49022858976641315	0.27307599189151077	6.0
SRR1515172	6	0.2898953988059489	0.12064580949272641	6.0
SRR1515173	7	0.477562639122431	0.21329966565369707	7.0
SRR1515174	7	0.3778247334073663	0.17065797298165652	7.0
SRR1515175	5	0.2882702953281075	0.12345831859865208	5.0
SRR1515176	7	0.5523503676373018	0.33020251998742434	7.0
SRR1515177	8	0.25897396868534056	0.1012567759998726	8.0
SRR1515178	8	0.3659726282162238	0.1336409740661051	8.0
SRR1515179	7	0.6232776648552761	0.28593860321775766	7.0
SRR1515180	8	0.25172027916889583	0.087395626050352	8.0
SRR1515181	5	0.27360861519955687	0.10971994515198014	5.0
SRR1515182	8	0.31967561069689443	0.12189968895318415	8.0
SRR1515183	6	0.13106679443688155	0.04543450102402591	6.0
