dataset	tax_level	group_variable	contrast	group_a	group_b	taxon	n_a	n_b	mean_relative_abundance_a	mean_relative_abundance_b	median_clr_a	median_clr_b	effect_size_clr_median_difference	rank_biserial	log2_fold_change	statistic	p_value	direction	FDR_p_value	raw_p_significance	FDR_p_significance
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Actinobacteria	18	6	6.576106409681006e-05	0.001204235272732781	-5.613593461941991	-4.414021940731205	-1.1995715212107863	-0.4629629629629629	-4.19453243887458	29.0	0.10355434039644565	Higher_in_Non_alcohol_user	0.14793477199492236	NS	NS
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Bacilli	18	6	0.015199139163716993	0.010097449965215234	2.1407703276984535	1.1722336578565424	0.9685366698419111	0.07407407407407418	0.5899981390067709	58.0	0.8204107105708937	Higher_in_Alcohol_user	0.8204107105708937	NS	NS
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Bacteroidia	18	6	0.005108471002544773	0.008441709200771174	1.0559752781707976	1.5383734396984006	-0.48239816152760295	-0.4629629629629629	-0.7246424691266524	29.0	0.10355434039644565	Higher_in_Non_alcohol_user	0.14793477199492236	NS	NS
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Campylobacteria	18	6	0.0017551666869810494	0.0007170949870560083	0.2817971632567242	-0.9543992543553592	1.2361964176120834	0.7777777777777777	1.2913600126162448	96.0	0.003373057148800856	Higher_in_Alcohol_user	0.01686528574400428	p<0.005	p<0.05
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Clostridia	18	6	0.002013602145617159	0.0003794220797137666	0.9968472031564515	-4.019901840313779	5.016749043470231	0.6481481481481481	2.4078722595613717	89.0	0.018276917590418735	Higher_in_Alcohol_user	0.044875033433385836	p<0.05	p<0.05
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Fusobacteriia	18	6	0.0	0.0019355242819174001	-5.638285883039149	-0.11714006361033591	-5.521145819428813	-0.9814814814814815	-17.562372335109774	1.0	2.9718565187672738e-05	Higher_in_Non_alcohol_user	0.00029718565187672734	p<0.001	p<0.001
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Gammaproteobacteria	18	6	0.04631706959364593	0.008846346603465711	3.3565186932545035	1.445750035102839	1.9107686581516645	0.6296296296296295	2.3883889860339527	88.0	0.022437516716692918	Higher_in_Alcohol_user	0.044875033433385836	p<0.05	p<0.05
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Negativicutes	18	6	0.059862236648158894	0.03846691502940866	3.3399824885256817	3.2603356684556095	0.07964682007007218	-0.11111111111111116	0.6380279166018957	48.0	0.721120984278879	Higher_in_Alcohol_user	0.8012455380876433	NS	NS
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Class:Saccharimonadia	18	6	0.001102325224297329	0.0	-1.0515260422513413	-5.047257218623074	3.9957311763717334	0.6851851851851851	16.750203494069634	91.0	0.011842848227287586	Higher_in_Alcohol_user	0.039476160757625285	p<0.05	p<0.05
PRJNA255332	Class	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Unclassified_Class	18	6	0.8685762284709411	0.9299113025797192	6.946602842319633	6.172767612199378	0.7738352301202553	0.12962962962962954	-0.09844064448841956	61.0	0.6729174715444739	Higher_in_Non_alcohol_user	0.8012455380876433	NS	NS
