dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Class:Actinobacteria	-1.9905317161967817	0.3638075167252773	-5.4713869963822	1.986923077537729e-05	24	Smoking_status;Age		Non_alcohol_user	CLR(Class:Actinobacteria) ~ Primary_group + Smoking_status + Age	4.9673076938443216e-05	Negative	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Class:Campylobacteria	0.5052284961423023	0.21325707772656938	2.369105408028184	0.027494307248955865	24	Smoking_status;Age		Non_alcohol_user	CLR(Class:Campylobacteria) ~ Primary_group + Smoking_status + Age	0.04931176693294989	Positive	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Class:Clostridia	1.0187112351944927	0.4363954799200121	2.3343762299765674	0.029587060159769932	24	Smoking_status;Age		Non_alcohol_user	CLR(Class:Clostridia) ~ Primary_group + Smoking_status + Age	0.04931176693294989	Positive	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Class:Fusobacteriia	-3.0443867989238678	0.2621181536505693	-11.6145591464159	1.3263597488163728e-10	24	Smoking_status;Age		Non_alcohol_user	CLR(Class:Fusobacteriia) ~ Primary_group + Smoking_status + Age	6.631798744081863e-10	Negative	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Class:Gammaproteobacteria	2.0482494637088497	0.2593576512665085	7.897393632718115	1.0122432711424546e-07	24	Smoking_status;Age		Non_alcohol_user	CLR(Class:Gammaproteobacteria) ~ Primary_group + Smoking_status + Age	3.3741442371415154e-07	Positive	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Class:Negativicutes	-1.4550806836962726	0.6920603319264599	-2.102534441825071	0.04774356495680371	24	Smoking_status;Age		Non_alcohol_user	CLR(Class:Negativicutes) ~ Primary_group + Smoking_status + Age	0.06820509279543387	Negative	p<0.05	NS
PRJNA255332	Class	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Unclassified_Class	2.7749109415125908	0.17693177149953804	15.683508495927969	4.542118969395998e-13	24	Smoking_status;Age		Non_alcohol_user	CLR(Unclassified_Class) ~ Primary_group + Smoking_status + Age	4.5421189693959974e-12	Positive	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Class:Actinobacteria	-1.9905317161967817	0.3638075167252773	-5.4713869963822	1.986923077537729e-05	24	Smoking_status;Age			CLR(Class:Actinobacteria) ~ Alcohol_user + Smoking_status + Age	4.9673076938443216e-05	Negative	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Class:Campylobacteria	0.5052284961423023	0.21325707772656938	2.369105408028184	0.027494307248955865	24	Smoking_status;Age			CLR(Class:Campylobacteria) ~ Alcohol_user + Smoking_status + Age	0.04931176693294989	Positive	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Class:Clostridia	1.0187112351944927	0.4363954799200121	2.3343762299765674	0.029587060159769932	24	Smoking_status;Age			CLR(Class:Clostridia) ~ Alcohol_user + Smoking_status + Age	0.04931176693294989	Positive	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Class:Fusobacteriia	-3.0443867989238678	0.2621181536505693	-11.6145591464159	1.3263597488163728e-10	24	Smoking_status;Age			CLR(Class:Fusobacteriia) ~ Alcohol_user + Smoking_status + Age	6.631798744081863e-10	Negative	p<0.001	p<0.001
