dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Actinobacteria	-0.7839360549000935	0.31118571260073924	-2.5191903842510515	0.019933294263496555	24	Smoking_status;Age			CLR(Class:Actinobacteria) ~ Alcohol_days_per_week + Smoking_status + Age	0.03322215710582759	Negative	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Bacilli	-0.3714323913455447	0.46918798234505116	-0.7916494141411856	0.43741629190059417	24	Smoking_status;Age			CLR(Class:Bacilli) ~ Alcohol_days_per_week + Smoking_status + Age	0.48601810211177127	Negative	NS	NS
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Bacteroidia	-0.15618199071023975	0.3274689522101586	-0.47693678944563694	0.6383328172829928	24	Smoking_status;Age			CLR(Class:Bacteroidia) ~ Alcohol_days_per_week + Smoking_status + Age	0.6383328172829928	Negative	NS	NS
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Campylobacteria	0.4436532517695746	0.18241117252562497	2.432160517510245	0.024040793547939764	24	Smoking_status;Age			CLR(Class:Campylobacteria) ~ Alcohol_days_per_week + Smoking_status + Age	0.034343990782771096	Positive	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Clostridia	1.1205717457481748	0.37327441614461626	3.002005219972097	0.006790632994996049	24	Smoking_status;Age			CLR(Class:Clostridia) ~ Alcohol_days_per_week + Smoking_status + Age	0.01697658248749012	Positive	p<0.01	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Fusobacteriia	-1.7398802606039117	0.22420489044193292	-7.760224396418887	1.3366902577615568e-07	24	Smoking_status;Age			CLR(Class:Fusobacteriia) ~ Alcohol_days_per_week + Smoking_status + Age	1.044806361368688e-06	Negative	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Gammaproteobacteria	1.2504402213828008	0.2218436723196348	5.636582771588602	1.355928761583042e-05	24	Smoking_status;Age			CLR(Class:Gammaproteobacteria) ~ Alcohol_days_per_week + Smoking_status + Age	4.5197625386101406e-05	Positive	p<0.001	p<0.001
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Negativicutes	-1.662006201898824	0.5919594226412432	-2.8076353519016153	0.010547465079165572	24	Smoking_status;Age			CLR(Class:Negativicutes) ~ Alcohol_days_per_week + Smoking_status + Age	0.021094930158331145	Negative	p<0.05	p<0.05
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Class:Saccharimonadia	0.7573110329579403	0.3702387867342836	2.045466493767046	0.053539577918082795	24	Smoking_status;Age			CLR(Class:Saccharimonadia) ~ Alcohol_days_per_week + Smoking_status + Age	0.06692447239760349	Positive	NS	NS
PRJNA255332	Class	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Unclassified_Class	1.1414606476001228	0.15134002697742902	7.542357896965099	2.0896127227373762e-07	24	Smoking_status;Age			CLR(Unclassified_Class) ~ Alcohol_days_per_week + Smoking_status + Age	1.044806361368688e-06	Positive	p<0.001	p<0.001
