dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Actinobacteria	-0.7816143810907431	0.3659666852096549	-2.135752823082713	0.044636103690408484	24	Smoking_status;BMI_kg_m2			CLR(Class:Actinobacteria) ~ Age + Smoking_status + BMI_kg_m2	0.13884841693131839	Negative	p<0.05	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Bacilli	0.2187955341492005	0.5517835931604289	0.3965241751680474	0.6957189743585253	24	Smoking_status;BMI_kg_m2			CLR(Class:Bacilli) ~ Age + Smoking_status + BMI_kg_m2	0.7730210826205836	Positive	NS	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Bacteroidia	-0.4407337687088837	0.3851164179352685	-1.1444169819396366	0.2653277581283887	24	Smoking_status;BMI_kg_m2			CLR(Class:Bacteroidia) ~ Age + Smoking_status + BMI_kg_m2	0.33165969766048586	Negative	NS	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Campylobacteria	0.5428639293125899	0.21452274140895397	2.5305658772917923	0.019447708587378352	24	Smoking_status;BMI_kg_m2			CLR(Class:Campylobacteria) ~ Age + Smoking_status + BMI_kg_m2	0.09723854293689176	Positive	p<0.05	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Clostridia	0.6946363286219377	0.43898545215436724	1.5823675368122951	0.12851072442197758	24	Smoking_status;BMI_kg_m2			CLR(Class:Clostridia) ~ Age + Smoking_status + BMI_kg_m2	0.21418454070329598	Positive	NS	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Fusobacteriia	-1.7997753942066603	0.2636738039066165	-6.825764894126814	9.500774842815941e-07	24	Smoking_status;BMI_kg_m2			CLR(Class:Fusobacteriia) ~ Age + Smoking_status + BMI_kg_m2	9.50077484281594e-06	Negative	p<0.001	p<0.001
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Gammaproteobacteria	0.4337199880338715	0.2608969181619194	1.6624189779225127	0.11128425847728252	24	Smoking_status;BMI_kg_m2			CLR(Class:Gammaproteobacteria) ~ Age + Smoking_status + BMI_kg_m2	0.21418454070329598	Positive	NS	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Negativicutes	0.0259045247270549	0.6961676545882726	0.03721018142156483	0.9706688801464185	24	Smoking_status;BMI_kg_m2			CLR(Class:Negativicutes) ~ Age + Smoking_status + BMI_kg_m2	0.9706688801464185	Positive	NS	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Class:Saccharimonadia	0.8826124601194097	0.43541543210576134	2.0270582874173955	0.055539366772527354	24	Smoking_status;BMI_kg_m2			CLR(Class:Saccharimonadia) ~ Age + Smoking_status + BMI_kg_m2	0.13884841693131839	Positive	NS	NS
PRJNA255332	Class	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Unclassified_Class	0.2235907790422237	0.17798184739776474	1.2562560862879983	0.22281940555610497	24	Smoking_status;BMI_kg_m2			CLR(Unclassified_Class) ~ Age + Smoking_status + BMI_kg_m2	0.3183134365087214	Positive	NS	NS
