dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Actinobacteria	-0.49746246598594046	0.01338318186932627	24	0.06691590934663134	Negative	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Bacilli	0.1790677861584729	0.402470748751506	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Bacteroidia	-0.3375638162047453	0.1067016147867795	24	0.2667540369669487	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Campylobacteria	0.3885256665736057	0.060620757380602776	24	0.20206919126867592	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Clostridia	0.1982369225357507	0.35310877361380366	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Fusobacteriia	-0.6947643086984092	0.00016497837825207946	24	0.0016497837825207944	Negative	p<0.001	p<0.005
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Gammaproteobacteria	0.18187302562831842	0.39501683844127855	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Negativicutes	0.19215890368441874	0.3683586100788815	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Saccharimonadia	0.23096471635061516	0.27754364230027484	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Unclassified_Class	0.17766516642355012	0.40622689826392744	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Actinobacteria	0.29922554345018976	0.15548176947337808	24	0.31096353894675616	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Bacilli	-0.21366573961990112	0.3161002845116428	24	0.4515718350166326	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Bacteroidia	0.0327277938148645	0.8793337569534677	24	0.8793337569534677	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Campylobacteria	0.24265321414163823	0.2532585862722654	24	0.422097643787109	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Clostridia	0.4114351222440109	0.04577319548857306	24	0.13312008018046384	Positive	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Fusobacteriia	0.03459795346142819	0.8724919438748312	24	0.8793337569534677	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Gammaproteobacteria	0.4175131410953428	0.04235784670035042	24	0.13312008018046384	Positive	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Negativicutes	-0.4474356954403618	0.028355871823082756	24	0.13312008018046384	Negative	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Saccharimonadia	0.399279084541347	0.053248032072185536	24	0.13312008018046384	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Class	-0.14774261207853118	0.4908577398087527	24	0.6135721747609408	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Actinobacteria	-0.06358542798316531	0.7678615917538439	24	0.85317954639316	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Bacilli	-0.089300123123416	0.6781741432858188	24	0.8477176791072735	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Bacteroidia	-0.22348407776436044	0.29383397701059555	24	0.4197628243008508	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Campylobacteria	0.554034795294492	0.004968420653373562	24	0.012421051633433905	Positive	p<0.005	p<0.05
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Clostridia	0.5872301290209974	0.00255374229179741	24	0.00966603652281038	Positive	p<0.005	p<0.01
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Fusobacteriia	-0.4946572265160949	0.013999046975116525	24	0.02799809395023305	Negative	p<0.05	p<0.05
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Gammaproteobacteria	0.5811521101696654	0.0028998109568431135	24	0.00966603652281038	Positive	p<0.005	p<0.01
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Negativicutes	-0.32681039823700414	0.11906173479928131	24	0.19843622466546887	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Saccharimonadia	0.5993861667236613	0.0019657299740182812	24	0.00966603652281038	Positive	p<0.005	p<0.01
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Unclassified_Class	-0.020571756112200544	0.9239889158750995	24	0.9239889158750995	Negative	NS	NS
