dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Actinobacteria	-0.49746246598594046	0.01338318186932627	24	0.06691590934663134	Negative	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Fusobacteriia	-0.6947643086984092	0.00016497837825207946	24	0.0016497837825207944	Negative	p<0.001	p<0.005
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Clostridia	0.4114351222440109	0.04577319548857306	24	0.13312008018046384	Positive	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Gammaproteobacteria	0.4175131410953428	0.04235784670035042	24	0.13312008018046384	Positive	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Negativicutes	-0.4474356954403618	0.028355871823082756	24	0.13312008018046384	Negative	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Campylobacteria	0.554034795294492	0.004968420653373562	24	0.012421051633433905	Positive	p<0.005	p<0.05
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Clostridia	0.5872301290209974	0.00255374229179741	24	0.00966603652281038	Positive	p<0.005	p<0.01
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Fusobacteriia	-0.4946572265160949	0.013999046975116525	24	0.02799809395023305	Negative	p<0.05	p<0.05
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Gammaproteobacteria	0.5811521101696654	0.0028998109568431135	24	0.00966603652281038	Positive	p<0.005	p<0.01
PRJNA255332	Class	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Class:Saccharimonadia	0.5993861667236613	0.0019657299740182812	24	0.00966603652281038	Positive	p<0.005	p<0.01
