dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Actinobacteria	-0.49746246598594046	0.01338318186932627	24	0.06691590934663134	Negative	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Bacilli	0.1790677861584729	0.402470748751506	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Bacteroidia	-0.3375638162047453	0.1067016147867795	24	0.2667540369669487	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Campylobacteria	0.3885256665736057	0.060620757380602776	24	0.20206919126867592	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Clostridia	0.1982369225357507	0.35310877361380366	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Fusobacteriia	-0.6947643086984092	0.00016497837825207946	24	0.0016497837825207944	Negative	p<0.001	p<0.005
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Gammaproteobacteria	0.18187302562831842	0.39501683844127855	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Negativicutes	0.19215890368441874	0.3683586100788815	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Class:Saccharimonadia	0.23096471635061516	0.27754364230027484	24	0.40622689826392744	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	Age	Age	Unclassified_Class	0.17766516642355012	0.40622689826392744	24	0.40622689826392744	Positive	NS	NS
