dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Actinobacteria	0.29922554345018976	0.15548176947337808	24	0.31096353894675616	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Bacilli	-0.21366573961990112	0.3161002845116428	24	0.4515718350166326	Negative	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Bacteroidia	0.0327277938148645	0.8793337569534677	24	0.8793337569534677	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Campylobacteria	0.24265321414163823	0.2532585862722654	24	0.422097643787109	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Clostridia	0.4114351222440109	0.04577319548857306	24	0.13312008018046384	Positive	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Fusobacteriia	0.03459795346142819	0.8724919438748312	24	0.8793337569534677	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Gammaproteobacteria	0.4175131410953428	0.04235784670035042	24	0.13312008018046384	Positive	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Negativicutes	-0.4474356954403618	0.028355871823082756	24	0.13312008018046384	Negative	p<0.05	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Class:Saccharimonadia	0.399279084541347	0.053248032072185536	24	0.13312008018046384	Positive	NS	NS
PRJNA255332	Class	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Class	-0.14774261207853118	0.4908577398087527	24	0.6135721747609408	Negative	NS	NS
