Taxon	SRR1515143	SRR1515152	SRR1515153	SRR1515154	SRR1515157	SRR1515158	SRR1515163	SRR1515164	SRR1515167	SRR1515169	SRR1515170	SRR1515171	SRR1515172	SRR1515173	SRR1515174	SRR1515175	SRR1515176	SRR1515177	SRR1515178	SRR1515179	SRR1515180	SRR1515181	SRR1515182	SRR1515183
Family:Alcaligenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	70.0	11.0	25.0	20.0	69.0	0.0
Family:Anaerovoracaceae	0.0	165.0	0.0	610.0	0.0	0.0	29.0	54.0	109.0	0.0	0.0	35.0	0.0	177.0	529.0	0.0	0.0	307.0	0.0	0.0	81.0	0.0	0.0	0.0
Family:Campylobacteraceae	98.0	122.0	176.0	191.0	194.0	406.0	496.0	52.0	178.0	494.0	196.0	50.0	0.0	210.0	471.0	47.0	245.0	470.0	32.0	22.0	91.0	0.0	57.0	37.0
Family:Carnobacteriaceae	2778.0	6529.0	9349.0	2785.0	2514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3493.0	0.0	0.0	0.0	0.0	495.0	246.0	281.0	101.0	221.0	101.0
Family:Family_XI	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0
Family:Fusobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	51.0	133.0	0.0	407.0	0.0
Family:Lachnospiraceae	0.0	315.0	16.0	121.0	38.0	0.0	475.0	0.0	76.0	120.0	84.0	101.0	17.0	98.0	132.0	82.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
Family:Lactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	50.0	0.0	35.0	26.0	0.0	0.0	0.0
Family:Neisseriaceae	2190.0	372.0	984.0	33.0	147.0	3337.0	14.0	95.0	0.0	169.0	1381.0	9308.0	366.0	1738.0	135.0	3068.0	49.0	511.0	86.0	108.0	0.0	0.0	29.0	0.0
Family:Pasteurellaceae	0.0	0.0	27.0	47.0	0.0	110.0	0.0	0.0	0.0	134.0	0.0	1036.0	55.0	300.0	0.0	237.0	0.0	81.0	22.0	0.0	27.0	544.0	37.0	84.0
Family:Prevotellaceae	0.0	36.0	199.0	122.0	74.0	48.0	213.0	155.0	53.0	141.0	0.0	37.0	0.0	33.0	178.0	0.0	384.0	256.0	214.0	172.0	338.0	0.0	396.0	159.0
Family:Saccharimonadaceae	0.0	0.0	529.0	0.0	26.0	389.0	30.0	0.0	87.0	66.0	0.0	102.0	28.0	0.0	0.0	0.0	58.0	188.0	0.0	0.0	0.0	0.0	0.0	0.0
Family:Veillonellaceae	2866.0	27803.0	15151.0	26037.0	4227.0	14203.0	10106.0	17156.0	0.0	30643.0	0.0	0.0	0.0	0.0	0.0	0.0	48719.0	0.0	1751.0	1836.0	1200.0	1835.0	3226.0	1540.0
Unclassified_Family	283138.0	164867.0	184777.0	182211.0	148075.0	110313.0	163549.0	116378.0	42369.0	112524.0	129952.0	85039.0	31945.0	82729.0	111604.0	227591.0	196940.0	220763.0	63126.0	16557.0	53742.0	51704.0	85991.0	89244.0
