taxon	prevalence	mean_relative_abundance	total_count	kept
Family:Aerococcaceae	0.08333333333333333	0.0003192757058727061	1033.0	False
Family:Alcaligenaceae	0.25	0.00013884498649170603	222.0	True
Family:Anaerovoracaceae	0.4166666666666667	0.000692699748058826	2096.0	True
Family:Blastocatellaceae	0.041666666666666664	4.294057025077293e-06	30.0	False
Family:Campylobacteraceae	0.9166666666666666	0.0014147575610257946	4335.0	True
Family:Carnobacteriaceae	0.5	0.007746237707975717	28893.0	True
Family:Eggerthellaceae	0.041666666666666664	1.1965765943635258e-05	64.0	False
Family:Enterobacteriaceae	0.041666666666666664	2.882072786748229e-06	16.0	False
Family:Erysipelotrichaceae	0.08333333333333333	5.6594130342013476e-05	93.0	False
Family:Family_XI	0.16666666666666666	0.00014339703714316113	384.0	True
Family:Fusobacteriaceae	0.16666666666666666	0.00048378734202965705	727.0	True
Family:Gemellaceae	0.041666666666666664	0.000702295503015571	735.0	False
Family:Lachnospiraceae	0.5833333333333334	0.0005487496648152379	1803.0	True
Family:Lactobacillaceae	0.16666666666666666	0.00011404133056489101	163.0	True
Family:Mitochondria	0.125	6.993872884388473e-05	64.0	False
Family:Moritellaceae	0.041666666666666664	6.012688671841376e-06	19.0	False
Family:Neisseriaceae	0.8333333333333334	0.008574552841869176	24120.0	True
Family:Pasteurellaceae	0.5833333333333334	0.0013161109383860558	2741.0	True
Family:Peptostreptococcaceae	0.125	3.9277084923021445e-05	122.0	False
Family:Porphyromonadaceae	0.041666666666666664	2.9587619593158397e-06	15.0	False
Family:Prevotellaceae	0.7916666666666666	0.0015238805488942237	3208.0	True
Family:Rhodocyclaceae	0.041666666666666664	9.57357446387983e-06	31.0	False
Family:Saccharimonadaceae	0.4166666666666667	0.00047177271510670835	1503.0	True
Family:Selenomonadaceae	0.041666666666666664	7.478603714772037e-06	40.0	False
Family:Staphylococcaceae	0.041666666666666664	1.4078479073748704e-06	3.0	False
Family:Veillonellaceae	0.6666666666666666	0.054429438072814924	208299.0	True
Family:Weeksellaceae	0.041666666666666664	2.0451499486536822e-05	47.0	False
Unclassified_Family	1.0	0.9211473234798676	2955128.0	True
