analysis_sample_id	Observed	Shannon	Simpson	Chao1
SRR1515143	5	0.15625276671832547	0.05351496144645629	5.0
SRR1515152	8	0.579480906304976	0.3015344718706088	8.0
SRR1515153	10	0.49899023625215794	0.2275911195829441	10.0
SRR1515154	9	0.4799348185820955	0.24713340739020773	9.0
SRR1515157	8	0.23231779407531705	0.08981707579967113	8.0
SRR1515158	7	0.5151553009615719	0.2536821151160209	7.0
SRR1515163	8	0.2720758392010606	0.1223526424126512	8.0
SRR1515164	6	0.4042908481494045	0.2280600724777102	6.0
SRR1515167	6	0.08171331098621246	0.023295053696555934	6.0
SRR1515169	8	0.5729845236570476	0.3467318288623026	8.0
SRR1515170	4	0.07474646311832235	0.02496866916082474	4.0
SRR1515171	8	0.40505849072861067	0.20094406234994067	8.0
SRR1515172	6	0.09677292310390104	0.031286745167197205	6.0
SRR1515173	8	0.3264411689562867	0.12967629408795622	8.0
SRR1515174	6	0.08672118395164521	0.025356231045273292	6.0
SRR1515175	7	0.09319975716454204	0.03162708581410978	7.0
SRR1515176	7	0.5220557834061043	0.3223288229516391	7.0
SRR1515177	9	0.06772295119506606	0.017782172670892327	9.0
SRR1515178	9	0.22839328530775163	0.08252709080850085	9.0
SRR1515179	9	0.5146133236009648	0.2340603404025683	9.0
SRR1515180	10	0.22341802093305912	0.07663942862087425	10.0
SRR1515181	5	0.22047057869946057	0.08886647243218715	5.0
SRR1515182	10	0.25199996307759254	0.09600595015290092	10.0
SRR1515183	6	0.11801121469775401	0.0414087128367715	6.0
