dataset	tax_level	group_variable	contrast	group_a	group_b	taxon	n_a	n_b	mean_relative_abundance_a	mean_relative_abundance_b	median_clr_a	median_clr_b	effect_size_clr_median_difference	rank_biserial	log2_fold_change	statistic	p_value	direction	FDR_p_value	raw_p_significance	FDR_p_significance
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Alcaligenaceae	18	6	6.485112343762835e-06	0.0005362845287111548	-3.833105020991557	0.025600578817867925	-3.858705599809425	-0.8703703703703703	-6.367527245106604	7.0	0.0006538084341288003	Higher_in_Non_alcohol_user	0.004576659038901602	p<0.001	p<0.005
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Anaerovoracaceae	18	6	0.0008459975196547635	0.0002413127413127413	-1.0140415418083273	-3.3046820662449807	2.2906405244366534	0.40740740740740744	1.809706610748745	76.0	0.15563612588784212	Higher_in_Alcohol_user	0.2421006402699766	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Campylobacteraceae	18	6	0.0016517311781932473	0.0007171991385775312	2.076084559868116	0.17566303778219283	1.9004215220859233	0.7777777777777777	1.2035218633738902	96.0	0.003373057148800856	Higher_in_Alcohol_user	0.009444560016642395	p<0.005	p<0.01
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Carnobacteriaceae	18	6	0.00861541411658457	0.005144187695344746	-2.8793069956165978	2.4521755102972578	-5.331482505913856	-0.33333333333333337	0.7439757310263687	36.0	0.2508692680317394	Higher_in_Alcohol_user	0.3512169752444352	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Family_XI	18	6	0.00014516396848760006	0.00013810933840102533	-3.7345600170549043	-3.3046820662449807	-0.4298779508099235	-0.11111111111111116	0.07186745448388063	48.0	0.721120984278879	Higher_in_Alcohol_user	0.7765918292234082	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Fusobacteriaceae	18	6	0.0	0.0019359669258838727	-3.833105020991557	1.1145725370619255	-4.947677558053483	-0.9074074074074074	-17.56270223226043	5.0	0.000282326369282891	Higher_in_Non_alcohol_user	0.003952569169960474	p<0.001	p<0.005
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Lachnospiraceae	18	6	0.0007334488139568947	0.0	1.2214622365963876	-3.872863743490627	5.094325980087015	0.8333333333333333	16.16242833581159	99.0	0.0013373354334452734	Higher_in_Alcohol_user	0.006240898689411276	p<0.005	p<0.01
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Lactobacillaceae	18	6	2.4192309671916787e-05	0.0003838631451826115	-3.6117742695493082	-2.7294834104499737	-0.8822908590993346	-0.2407407407407407	-3.987412998049516	41.0	0.4148860293025053	Higher_in_Non_alcohol_user	0.5280367645668249	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Neisseriaceae	18	6	0.011031205631374193	0.0012162754442562958	2.542206930368299	-1.50288141098902	4.045088341357319	0.7962962962962963	3.181038030680455	97.0	0.0025112187583583466	Higher_in_Alcohol_user	0.008789265654254214	p<0.005	p<0.01
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Pasteurellaceae	18	6	0.0010788093279320663	0.0020304453634362716	-1.630192756138856	-0.22192135969393578	-1.4082713964449203	-0.20370370370370372	-0.912350038108875	43.0	0.49420487978840383	Higher_in_Non_alcohol_user	0.5765723597531378	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Prevotellaceae	18	6	0.0006764028584786682	0.004073580181552215	0.9110955294686762	2.142835030596217	-1.2317395011275407	-0.40740740740740744	-2.5903248565959336	32.0	0.15563612588784212	Higher_in_Non_alcohol_user	0.2421006402699766	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Saccharimonadaceae	18	6	0.0006309920347590424	0.0	0.14359902985681505	-3.872863743490627	4.016462773347442	0.5740740740740742	15.945357036947522	85.0	0.03957026954738625	Higher_in_Alcohol_user	0.09233062894390126	p<0.05	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Family:Veillonellaceae	18	6	0.05981250336940723	0.038472614070476994	5.202724684915181	4.373683443140868	0.8290412417743136	0.03703703703703698	0.6366151083737615	56.0	0.9225385598383311	Higher_in_Alcohol_user	0.9225385598383311	NS	NS
PRJNA255332	Family	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Unclassified_Family	18	6	0.914747653759156	0.9451101614268644	8.664015479695193	7.616600350119295	1.0474151295758976	0.5555555555555556	-0.047108688032111205	84.0	0.04719308151802431	Higher_in_Non_alcohol_user	0.09438616303604862	p<0.05	NS
