dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Alcaligenaceae	-0.9230693394974456	0.21627290292215456	-4.268076707832862	0.00034224909721349174	24	Smoking_status;Age			CLR(Family:Alcaligenaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.0015971624536629616	Negative	p<0.001	p<0.005
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Anaerovoracaceae	0.4880393297858467	0.4883331143138604	0.9993983931881694	0.32897911490946585	24	Smoking_status;Age			CLR(Family:Anaerovoracaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.41870069170295654	Positive	NS	NS
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Campylobacteraceae	0.7816971991438941	0.2559574118520955	3.0540127495725593	0.006027973930717675	24	Smoking_status;Age			CLR(Family:Campylobacteraceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.01205594786143535	Positive	p<0.01	p<0.05
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Carnobacteriaceae	-1.9972282250572946	0.5086562375402974	-3.9264793738011865	0.0007744144058574337	24	Smoking_status;Age			CLR(Family:Carnobacteriaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.002710450420501018	Negative	p<0.001	p<0.005
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Family_XI	-0.15481728271528722	0.3479634015757903	-0.44492404090252086	0.6609267454178089	24	Smoking_status;Age			CLR(Family:Family_XI) ~ Alcohol_days_per_week + Smoking_status + Age	0.7117672642961019	Negative	NS	NS
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Fusobacteriaceae	-1.1654689220953667	0.21543394184382125	-5.409866765285634	2.2923412192771554e-05	24	Smoking_status;Age			CLR(Family:Fusobacteriaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.00016046388534940087	Negative	p<0.001	p<0.001
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Lachnospiraceae	1.2772164488767113	0.3567970906303925	3.579671702535783	0.0017665351822379735	24	Smoking_status;Age			CLR(Family:Lachnospiraceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.004690978588718422	Positive	p<0.005	p<0.005
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Lactobacillaceae	-0.8477354278435617	0.3003878140085087	-2.8221365458571794	0.01020953178262082	24	Smoking_status;Age			CLR(Family:Lactobacillaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.017866680619586437	Negative	p<0.05	p<0.05
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Neisseriaceae	1.4903876959129638	0.4228106815717343	3.524952800086967	0.002010419395165038	24	Smoking_status;Age			CLR(Family:Neisseriaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.004690978588718422	Positive	p<0.005	p<0.005
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Pasteurellaceae	0.1550123963102932	0.4645113927515345	0.3337106446239711	0.7419072013917762	24	Smoking_status;Age			CLR(Family:Pasteurellaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.7419072013917762	Positive	NS	NS
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Prevotellaceae	-0.17650884088730392	0.3645175024091896	-0.4842259691803871	0.6332372047664856	24	Smoking_status;Age			CLR(Family:Prevotellaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.7117672642961019	Negative	NS	NS
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Saccharimonadaceae	0.5704816629851455	0.4223951424537332	1.3505876503957022	0.1912031411011207	24	Smoking_status;Age			CLR(Family:Saccharimonadaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.267684397541569	Positive	NS	NS
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Family:Veillonellaceae	-1.2374122517465431	0.7160924367485569	-1.7280063134936283	0.09866559716927233	24	Smoking_status;Age			CLR(Family:Veillonellaceae) ~ Alcohol_days_per_week + Smoking_status + Age	0.15347981781886805	Negative	NS	NS
PRJNA255332	Family	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Unclassified_Family	1.7394055568279483	0.13829854211540818	12.577179269008049	3.047050161473362e-11	24	Smoking_status;Age			CLR(Unclassified_Family) ~ Alcohol_days_per_week + Smoking_status + Age	4.2658702260627073e-10	Positive	p<0.001	p<0.001
