dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Alcaligenaceae	-1.5053948314075514	0.25434547338823543	-5.9187010932555575	7.107836748279818e-06	24	Smoking_status;BMI_kg_m2			CLR(Family:Alcaligenaceae) ~ Age + Smoking_status + BMI_kg_m2	4.975485723795873e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Campylobacteraceae	0.6862021196502968	0.3010160228356554	2.279619912541799	0.0331865559950295	24	Smoking_status;BMI_kg_m2			CLR(Family:Campylobacteraceae) ~ Age + Smoking_status + BMI_kg_m2	0.07743529732173551	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Fusobacteriaceae	-1.6344377784723274	0.2533588220336744	-6.451079008628684	2.1545475973687342e-06	24	Smoking_status;BMI_kg_m2			CLR(Family:Fusobacteriaceae) ~ Age + Smoking_status + BMI_kg_m2	3.016366636316228e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Lachnospiraceae	1.224885687301956	0.4196074667412073	2.919122714413954	0.008201380257667082	24	Smoking_status;BMI_kg_m2			CLR(Family:Lachnospiraceae) ~ Age + Smoking_status + BMI_kg_m2	0.038273107869113046	Positive	p<0.01	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Neisseriaceae	1.3229129841302854	0.4972420562398114	2.660500992482959	0.014634210801380878	24	Smoking_status;BMI_kg_m2			CLR(Family:Neisseriaceae) ~ Age + Smoking_status + BMI_kg_m2	0.051219737804833076	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Unclassified_Family	0.3956840755903298	0.162644546256021	2.4328149003378083	0.024007163814063114	24	Smoking_status;BMI_kg_m2			CLR(Unclassified_Family) ~ Age + Smoking_status + BMI_kg_m2	0.06722005867937672	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Alcaligenaceae	-0.8574377016699087	0.21739784603135356	-3.9440947429913695	0.0007425243897410512	24	Smoking_status;Age			CLR(Family:Alcaligenaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.0025988353640936795	Negative	p<0.001	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Campylobacteraceae	0.7578553741591864	0.25728877386194965	2.945543883565708	0.007723616969812017	24	Smoking_status;Age			CLR(Family:Campylobacteraceae) ~ BMI_kg_m2 + Smoking_status + Age	0.015447233939624034	Positive	p<0.01	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Carnobacteriaceae	-2.022915884137883	0.5113020120300311	-3.9564011807938435	0.000721023435592373	24	Smoking_status;Age			CLR(Family:Carnobacteriaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.0025988353640936795	Negative	p<0.001	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Fusobacteriaceae	-1.0969594007996268	0.21655452109850495	-5.06551142518354	5.135532609126927e-05	24	Smoking_status;Age			CLR(Family:Fusobacteriaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.00035948728263888487	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Lachnospiraceae	1.2326700113176	0.3586529700450754	3.4369435478609818	0.0024737337038782847	24	Smoking_status;Age			CLR(Family:Lachnospiraceae) ~ BMI_kg_m2 + Smoking_status + Age	0.006326491976226194	Positive	p<0.005	p<0.01
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Lactobacillaceae	-0.8485131843816238	0.30195028067395996	-2.810108944054375	0.01048907636449126	24	Smoking_status;Age			CLR(Family:Lactobacillaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.018355883637859706	Negative	p<0.05	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Neisseriaceae	1.444143732000471	0.42500993055902464	3.397905856225425	0.00271135370409694	24	Smoking_status;Age			CLR(Family:Neisseriaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.006326491976226194	Positive	p<0.005	p<0.01
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Family	1.7473472115266449	0.1390179017294094	12.56922446526174	3.083203986871443e-11	24	Smoking_status;Age			CLR(Unclassified_Family) ~ BMI_kg_m2 + Smoking_status + Age	4.3164855816200204e-10	Positive	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Alcaligenaceae	-0.7365053978486649	0.12142026623900037	-6.065753441842629	5.094163774339541e-06	24	Age;BMI_kg_m2			CLR(Family:Alcaligenaceae) ~ Smoking_status + Age + BMI_kg_m2	3.565914642037679e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Anaerovoracaceae	-0.7560018559036019	0.27416072911663514	-2.7575132964501963	0.011799442803938201	24	Age;BMI_kg_m2			CLR(Family:Anaerovoracaceae) ~ Smoking_status + Age + BMI_kg_m2	0.01651921992551348	Negative	p<0.05	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Campylobacteraceae	0.3011018932480372	0.14370000436029332	2.095350620123131	0.04844071415810046	24	Age;BMI_kg_m2			CLR(Family:Campylobacteraceae) ~ Smoking_status + Age + BMI_kg_m2	0.06165181801940058	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Carnobacteriaceae	0.8272640608479416	0.2855705682579269	2.896881376447582	0.00862540939660402	24	Age;BMI_kg_m2			CLR(Family:Carnobacteriaceae) ~ Smoking_status + Age + BMI_kg_m2	0.013417303505828473	Positive	p<0.01	p<0.05
