dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Alcaligenaceae	-1.5053948314075514	0.25434547338823543	-5.9187010932555575	7.107836748279818e-06	24	Smoking_status;BMI_kg_m2			CLR(Family:Alcaligenaceae) ~ Age + Smoking_status + BMI_kg_m2	4.975485723795873e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Anaerovoracaceae	0.550288106569612	0.5742990243027195	0.9581909132402582	0.34886901115879676	24	Smoking_status;BMI_kg_m2			CLR(Family:Anaerovoracaceae) ~ Age + Smoking_status + BMI_kg_m2	0.5426851284692393	Positive	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Campylobacteraceae	0.6862021196502968	0.3010160228356554	2.279619912541799	0.0331865559950295	24	Smoking_status;BMI_kg_m2			CLR(Family:Campylobacteraceae) ~ Age + Smoking_status + BMI_kg_m2	0.07743529732173551	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Carnobacteriaceae	-0.1470371145825285	0.5981998196770532	-0.24579932949814096	0.8082239674004202	24	Smoking_status;BMI_kg_m2			CLR(Family:Carnobacteriaceae) ~ Age + Smoking_status + BMI_kg_m2	0.8703950418158372	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Family_XI	-0.3226775054683514	0.40921869961412066	-0.7885209199203881	0.43920348385245345	24	Smoking_status;BMI_kg_m2			CLR(Family:Family_XI) ~ Age + Smoking_status + BMI_kg_m2	0.5676671311031205	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Fusobacteriaceae	-1.6344377784723274	0.2533588220336744	-6.451079008628684	2.1545475973687342e-06	24	Smoking_status;BMI_kg_m2			CLR(Family:Fusobacteriaceae) ~ Age + Smoking_status + BMI_kg_m2	3.016366636316228e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Lachnospiraceae	1.224885687301956	0.4196074667412073	2.919122714413954	0.008201380257667082	24	Smoking_status;BMI_kg_m2			CLR(Family:Lachnospiraceae) ~ Age + Smoking_status + BMI_kg_m2	0.038273107869113046	Positive	p<0.01	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Lactobacillaceae	-0.25020550261761526	0.3532679301093566	-0.7082598823509464	0.4865718266598176	24	Smoking_status;BMI_kg_m2			CLR(Family:Lactobacillaceae) ~ Age + Smoking_status + BMI_kg_m2	0.5676671311031205	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Neisseriaceae	1.3229129841302854	0.4972420562398114	2.660500992482959	0.014634210801380878	24	Smoking_status;BMI_kg_m2			CLR(Family:Neisseriaceae) ~ Age + Smoking_status + BMI_kg_m2	0.051219737804833076	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Pasteurellaceae	-0.9440669782856277	0.5462837391429628	-1.728162327816543	0.09863710289671601	24	Smoking_status;BMI_kg_m2			CLR(Family:Pasteurellaceae) ~ Age + Smoking_status + BMI_kg_m2	0.17261493006925302	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Prevotellaceae	-0.3161340759862422	0.4286869758341104	-0.7374473539139594	0.4690107861384455	24	Smoking_status;BMI_kg_m2			CLR(Family:Prevotellaceae) ~ Age + Smoking_status + BMI_kg_m2	0.5676671311031205	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Saccharimonadaceae	0.9887434004970264	0.49675336582944873	1.9904110742079872	0.05972017132254303	24	Smoking_status;BMI_kg_m2			CLR(Family:Saccharimonadaceae) ~ Age + Smoking_status + BMI_kg_m2	0.11944034264508606	Positive	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Family:Veillonellaceae	-0.048762586919263606	0.8421529805798396	-0.057902290965816644	0.9543738917876134	24	Smoking_status;BMI_kg_m2			CLR(Family:Veillonellaceae) ~ Age + Smoking_status + BMI_kg_m2	0.9543738917876134	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Unclassified_Family	0.3956840755903298	0.162644546256021	2.4328149003378083	0.024007163814063114	24	Smoking_status;BMI_kg_m2			CLR(Unclassified_Family) ~ Age + Smoking_status + BMI_kg_m2	0.06722005867937672	Positive	p<0.05	NS
