dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Alcaligenaceae	-0.8574377016699087	0.21739784603135356	-3.9440947429913695	0.0007425243897410512	24	Smoking_status;Age			CLR(Family:Alcaligenaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.0025988353640936795	Negative	p<0.001	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Anaerovoracaceae	0.46658312768788	0.4908731781152828	0.9505166476590452	0.35266200600598185	24	Smoking_status;Age			CLR(Family:Anaerovoracaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.4488425530985224	Positive	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Campylobacteraceae	0.7578553741591864	0.25728877386194965	2.945543883565708	0.007723616969812017	24	Smoking_status;Age			CLR(Family:Campylobacteraceae) ~ BMI_kg_m2 + Smoking_status + Age	0.015447233939624034	Positive	p<0.01	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Carnobacteriaceae	-2.022915884137883	0.5113020120300311	-3.9564011807938435	0.000721023435592373	24	Smoking_status;Age			CLR(Family:Carnobacteriaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.0025988353640936795	Negative	p<0.001	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Family_XI	-0.1400248939703126	0.34977333257300386	-0.400330388083794	0.6929565643244783	24	Smoking_status;Age			CLR(Family:Family_XI) ~ BMI_kg_m2 + Smoking_status + Age	0.6929565643244783	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Fusobacteriaceae	-1.0969594007996268	0.21655452109850495	-5.06551142518354	5.135532609126927e-05	24	Smoking_status;Age			CLR(Family:Fusobacteriaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.00035948728263888487	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Lachnospiraceae	1.2326700113176	0.3586529700450754	3.4369435478609818	0.0024737337038782847	24	Smoking_status;Age			CLR(Family:Lachnospiraceae) ~ BMI_kg_m2 + Smoking_status + Age	0.006326491976226194	Positive	p<0.005	p<0.01
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Lactobacillaceae	-0.8485131843816238	0.30195028067395996	-2.810108944054375	0.01048907636449126	24	Smoking_status;Age			CLR(Family:Lactobacillaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.018355883637859706	Negative	p<0.05	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Neisseriaceae	1.444143732000471	0.42500993055902464	3.397905856225425	0.00271135370409694	24	Smoking_status;Age			CLR(Family:Neisseriaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.006326491976226194	Positive	p<0.005	p<0.01
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Pasteurellaceae	0.20852367225342022	0.4669275479117969	0.4465867845792867	0.6597447703843301	24	Smoking_status;Age			CLR(Family:Pasteurellaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.6929565643244783	Positive	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Prevotellaceae	-0.16243435452228125	0.36641353953162686	-0.4433088218571704	0.6620758064995691	24	Smoking_status;Age			CLR(Family:Prevotellaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.6929565643244783	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Saccharimonadaceae	0.5267724082844955	0.42459223001506086	1.240654847277375	0.2284157408218227	24	Smoking_status;Age			CLR(Family:Saccharimonadaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.31978203715055176	Positive	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Family:Veillonellaceae	-1.2556101177480625	0.7198171902492755	-1.7443458349657361	0.0957194013667888	24	Smoking_status;Age			CLR(Family:Veillonellaceae) ~ BMI_kg_m2 + Smoking_status + Age	0.14889684657056035	Negative	NS	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Family	1.7473472115266449	0.1390179017294094	12.56922446526174	3.083203986871443e-11	24	Smoking_status;Age			CLR(Unclassified_Family) ~ BMI_kg_m2 + Smoking_status + Age	4.3164855816200204e-10	Positive	p<0.001	p<0.001
