dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Alcaligenaceae	-0.7365053978486649	0.12142026623900037	-6.065753441842629	5.094163774339541e-06	24	Age;BMI_kg_m2			CLR(Family:Alcaligenaceae) ~ Smoking_status + Age + BMI_kg_m2	3.565914642037679e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Anaerovoracaceae	-0.7560018559036019	0.27416072911663514	-2.7575132964501963	0.011799442803938201	24	Age;BMI_kg_m2			CLR(Family:Anaerovoracaceae) ~ Smoking_status + Age + BMI_kg_m2	0.01651921992551348	Negative	p<0.05	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Campylobacteraceae	0.3011018932480372	0.14370000436029332	2.095350620123131	0.04844071415810046	24	Age;BMI_kg_m2			CLR(Family:Campylobacteraceae) ~ Smoking_status + Age + BMI_kg_m2	0.06165181801940058	Positive	p<0.05	NS
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Carnobacteriaceae	0.8272640608479416	0.2855705682579269	2.896881376447582	0.00862540939660402	24	Age;BMI_kg_m2			CLR(Family:Carnobacteriaceae) ~ Smoking_status + Age + BMI_kg_m2	0.013417303505828473	Positive	p<0.01	p<0.05
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Family_XI	-1.1379356954161217	0.19535414880877655	-5.82498862888239	8.80015047771399e-06	24	Age;BMI_kg_m2			CLR(Family:Family_XI) ~ Smoking_status + Age + BMI_kg_m2	4.106736889599862e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Fusobacteriaceae	-0.6778322963338603	0.12094925541832417	-5.604270104759708	1.4608350004586348e-05	24	Age;BMI_kg_m2			CLR(Family:Fusobacteriaceae) ~ Smoking_status + Age + BMI_kg_m2	5.112922501605222e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Lachnospiraceae	-0.7723905638040114	0.20031357212251646	-3.8559072938482633	0.0009164054089205637	24	Age;BMI_kg_m2			CLR(Family:Lachnospiraceae) ~ Smoking_status + Age + BMI_kg_m2	0.0018328108178411273	Negative	p<0.001	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Lactobacillaceae	-0.8933047315591414	0.16864418916591062	-5.296979018235347	2.9828229264657683e-05	24	Age;BMI_kg_m2			CLR(Family:Lactobacillaceae) ~ Smoking_status + Age + BMI_kg_m2	8.351904194104151e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Saccharimonadaceae	-0.8566527864775785	0.23714173140429518	-3.6124084167079777	0.001634804370852459	24	Age;BMI_kg_m2			CLR(Family:Saccharimonadaceae) ~ Smoking_status + Age + BMI_kg_m2	0.0028609076489918036	Negative	p<0.005	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Family:Veillonellaceae	1.6088669282954187	0.40202971868852433	4.001860692149231	0.0006468332855944944	24	Age;BMI_kg_m2			CLR(Family:Veillonellaceae) ~ Smoking_status + Age + BMI_kg_m2	0.0015092776663871538	Positive	p<0.001	p<0.005
PRJNA255332	Family	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Unclassified_Family	2.8990367693892454	0.07764378050708777	37.3376560293146	1.0931020252793748e-20	24	Age;BMI_kg_m2			CLR(Unclassified_Family) ~ Smoking_status + Age + BMI_kg_m2	1.5303428353911247e-19	Positive	p<0.001	p<0.001
