dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Alcaligenaceae	-0.7733110138540842	9.382978349102896e-06	24	6.568084844372028e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Fusobacteriaceae	-0.7807916524403388	6.737191600915069e-06	24	6.568084844372028e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Neisseriaceae	0.40488956348103794	0.049688505949216095	24	0.23187969442967513	Positive	p<0.05	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Carnobacteriaceae	-0.5287876400658821	0.007892266185668005	24	0.11049172659935208	Negative	p<0.01	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Lachnospiraceae	0.4067597231276016	0.048544157323532476	24	0.33980910126472735	Positive	p<0.05	NS
PRJNA255332	Family	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Family:Campylobacteraceae	0.5624505137040284	0.0042240933843019565	24	0.020630144553604273	Positive	p<0.005	p<0.05
PRJNA255332	Family	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Family:Carnobacteriaceae	-0.4923195269578903	0.014529848047547764	24	0.05085446816641718	Negative	p<0.05	NS
PRJNA255332	Family	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Family:Lachnospiraceae	0.6816731911724635	0.00024436910087507005	24	0.003421167412250981	Positive	p<0.001	p<0.005
PRJNA255332	Family	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Family:Neisseriaceae	0.5601128141458238	0.0044207452614866295	24	0.020630144553604273	Positive	p<0.005	p<0.05
PRJNA255332	Family	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Family:Saccharimonadaceae	0.4366822774726207	0.03288122957481111	24	0.09206744280947111	Positive	p<0.05	NS
PRJNA255332	Family	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Unclassified_Family	0.40535710339267883	0.04940046736668183	24	0.11526775718892426	Positive	p<0.05	NS
