dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Alcaligenaceae	0.2926799846872168	0.16516648190190192	24	0.39548302171999294	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Anaerovoracaceae	0.20992542032677372	0.32484625666628897	24	0.4134406903025496	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Campylobacteraceae	0.25667941149086587	0.22599029812571025	24	0.39548302171999294	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Carnobacteriaceae	-0.5287876400658821	0.007892266185668005	24	0.11049172659935208	Negative	p<0.01	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Family_XI	0.3099789614179309	0.1404532126350447	24	0.39548302171999294	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Fusobacteriaceae	0.2627574303421979	0.21480394480330403	24	0.39548302171999294	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Lachnospiraceae	0.4067597231276016	0.048544157323532476	24	0.33980910126472735	Positive	p<0.05	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Lactobacillaceae	0.08602734374192955	0.6893846997259973	24	0.7424142920126124	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Neisseriaceae	0.23657519529030627	0.26570908467246546	24	0.4055893157827661	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Pasteurellaceae	0.35439525302381847	0.08929134123646419	24	0.39548302171999294	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Prevotellaceae	-0.05563724948526965	0.7962410357268244	24	0.7962410357268244	Negative	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Saccharimonadaceae	0.22535423741092414	0.2897066541305472	24	0.4055893157827661	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Family:Veillonellaceae	-0.28566688601260304	0.17600301438896354	24	0.39548302171999294	Negative	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Family	0.1893536642145732	0.37552349310620114	24	0.4381107419572347	Positive	NS	NS
