Taxon	SRR1515143	SRR1515152	SRR1515153	SRR1515154	SRR1515157	SRR1515158	SRR1515163	SRR1515164	SRR1515167	SRR1515169	SRR1515170	SRR1515171	SRR1515172	SRR1515173	SRR1515174	SRR1515175	SRR1515176	SRR1515177	SRR1515178	SRR1515179	SRR1515180	SRR1515181	SRR1515182	SRR1515183
Genus:Campylobacter	98.0	122.0	176.0	191.0	194.0	406.0	496.0	52.0	178.0	494.0	196.0	50.0	0.0	210.0	471.0	47.0	245.0	470.0	32.0	22.0	91.0	0.0	57.0	37.0
Genus:Candidatus_Saccharimonas	0.0	0.0	184.0	0.0	0.0	24.0	30.0	0.0	27.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Genus:Catonella	0.0	97.0	16.0	121.0	38.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	17.0	0.0	132.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Genus:Eikenella	0.0	0.0	0.0	0.0	0.0	48.0	14.0	95.0	0.0	169.0	0.0	28.0	0.0	55.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Genus:Fusobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	51.0	133.0	0.0	407.0	0.0
Genus:Granulicatella	2778.0	6529.0	9349.0	2785.0	2514.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3493.0	0.0	0.0	0.0	0.0	495.0	246.0	281.0	101.0	221.0	101.0
Genus:Neisseria	2190.0	372.0	984.0	0.0	147.0	3289.0	0.0	0.0	0.0	0.0	1289.0	9280.0	366.0	1683.0	0.0	2890.0	49.0	511.0	68.0	108.0	0.0	0.0	0.0	0.0
Genus:Peptoniphilus	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Genus:Prevotella_7	0.0	36.0	199.0	106.0	74.0	35.0	213.0	155.0	41.0	141.0	0.0	0.0	0.0	29.0	162.0	0.0	384.0	236.0	61.0	139.0	181.0	0.0	30.0	120.0
Genus:TM7x	0.0	0.0	345.0	0.0	26.0	365.0	0.0	0.0	60.0	0.0	0.0	102.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Genus:Veillonella	2866.0	27803.0	15151.0	26037.0	4227.0	14203.0	10106.0	17156.0	0.0	30643.0	0.0	0.0	0.0	0.0	0.0	0.0	48719.0	0.0	1751.0	1836.0	1200.0	1835.0	3226.0	1540.0
Genus:[Eubacterium]_saphenum_group	0.0	165.0	0.0	610.0	0.0	0.0	29.0	54.0	109.0	0.0	0.0	35.0	0.0	177.0	529.0	0.0	0.0	307.0	0.0	0.0	81.0	0.0	0.0	0.0
Unclassified_Genus	283168.0	165085.0	184804.0	182307.0	148075.0	110436.0	164024.0	116409.0	42457.0	112658.0	130147.0	86260.0	32000.0	83131.0	111651.0	228049.0	196940.0	221270.0	63389.0	16601.0	53951.0	52268.0	86492.0	89367.0
