taxon	prevalence	mean_relative_abundance	total_count	kept
Genus:Abiotrophia	0.08333333333333333	0.0003192757058727061	1033.0	False
Genus:Auricoccus-Abyssicoccus	0.041666666666666664	1.4078479073748704e-06	3.0	False
Genus:Bulleidia	0.08333333333333333	5.6594130342013476e-05	93.0	False
Genus:Campylobacter	0.9166666666666666	0.0014147575610257946	4335.0	True
Genus:Candidatus_Saccharimonas	0.25	0.0001058670306873646	389.0	True
Genus:Catonella	0.3333333333333333	0.0001771573507971277	623.0	True
Genus:Cryptobacterium	0.041666666666666664	1.1965765943635258e-05	64.0	False
Genus:Eikenella	0.2916666666666667	0.00017329784064044914	513.0	True
Genus:Fusobacterium	0.16666666666666666	0.00048378734202965705	727.0	True
Genus:Gemella	0.041666666666666664	0.000702295503015571	735.0	False
Genus:Granulicatella	0.5	0.007746237707975717	28893.0	True
Genus:Ligilactobacillus	0.08333333333333333	9.590146284978517e-05	61.0	False
Genus:Limosilactobacillus	0.041666666666666664	8.791613071640826e-06	52.0	False
Genus:Mitochondria	0.125	6.993872884388473e-05	64.0	False
Genus:Neisseria	0.5833333333333334	0.00829746963255335	23226.0	True
Genus:Parvimonas	0.041666666666666664	3.452733460025633e-05	75.0	False
Genus:Peptoanaerobacter	0.041666666666666664	3.2849784505413644e-06	7.0	False
Genus:Peptoniphilus	0.125	0.0001088697025429048	309.0	True
Genus:Porphyromonas	0.041666666666666664	2.9587619593158397e-06	15.0	False
Genus:Prevotella_7	0.75	0.001005478230156762	2342.0	True
Genus:TM7x	0.25	0.0003307562469599151	926.0	True
Genus:Veillonella	0.6666666666666666	0.054429438072814924	208299.0	True
Genus:[Eubacterium]_saphenum_group	0.4166666666666667	0.000692699748058826	2096.0	True
Genus:[Eubacterium]_yurii_group	0.08333333333333333	3.599210647248008e-05	115.0	False
Unclassified_Genus	1.0	0.923691249594428	2960939.0	True
