analysis_sample_id	Observed	Shannon	Simpson	Chao1
SRR1515143	5	0.15623951098144306	0.05350954808287678	5.0
SRR1515152	8	0.5721453638440704	0.29974222662035843	8.0
SRR1515153	10	0.49935166198326014	0.22737031812847186	10.0
SRR1515154	7	0.47583050924697484	0.24635610631637306	7.0
SRR1515157	8	0.23231779407531705	0.08981707579967113	8.0
SRR1515158	8	0.5102529672382895	0.25206643750722113	8.0
SRR1515163	7	0.25349262683942947	0.1172741794794031	7.0
SRR1515164	6	0.4042297066587444	0.2280150403983876	6.0
SRR1515167	6	0.06808045052048706	0.01923928111962292	6.0
SRR1515169	7	0.5658024212024346	0.34528338566127115	7.0
SRR1515170	3	0.06621172869491726	0.02233752226391006	3.0
SRR1515171	6	0.3367720590352864	0.1790921066289196	6.0
SRR1515172	5	0.08429282830484203	0.027951518874601344	5.0
SRR1515173	7	0.2979125561532968	0.12125271258322845	7.0
SRR1515174	6	0.08392668722894797	0.024536194007061085	6.0
SRR1515175	5	0.08062330000721218	0.027881793407814826	5.0
SRR1515176	6	0.5201687408281994	0.3220428014613639	6.0
SRR1515177	5	0.05008725662142599	0.013621276526164294	5.0
SRR1515178	7	0.20092018961083863	0.0748843497838444	7.0
SRR1515179	7	0.48919306852643557	0.22722831004875244	7.0
SRR1515180	7	0.19643544383881045	0.06860896473387657	7.0
SRR1515181	3	0.1614015475166062	0.0690086064882317	3.0
SRR1515182	6	0.20784515874261672	0.08396001540983067	6.0
SRR1515183	5	0.10790281478731537	0.038767506621276926	5.0
