dataset	tax_level	group_variable	contrast	group_a	group_b	taxon	n_a	n_b	mean_relative_abundance_a	mean_relative_abundance_b	median_clr_a	median_clr_b	effect_size_clr_median_difference	rank_biserial	log2_fold_change	statistic	p_value	direction	FDR_p_value	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Campylobacter	18	6	0.0016516878977880347	0.0007177669719327346	2.0518137848201468	1.0438081970443243	1.0080055877758225	0.6481481481481481	1.2023422923699847	89.0	0.018276917590418735	Higher_in_Alcohol_user	0.11879996433772178	p<0.05	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Candidatus_Saccharimonas	18	6	0.0001417526650526181	0.0	-2.9582931235264844	-3.3368459155295787	0.3785527920030942	0.2407407407407407	13.791190010606762	67.0	0.4148860293025053	Higher_in_Alcohol_user	0.655320778890573	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Catonella	18	6	0.00023626621571626693	0.0	-2.389873668665544	-3.3368459155295787	0.9469722468640347	0.33333333333333326	14.528186790091915	72.0	0.2508692680317394	Higher_in_Alcohol_user	0.6522600968825225	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Eikenella	18	6	0.00023140012234887332	0.0	-2.5259649185497905	-3.3368459155295787	0.8108809969797881	0.2592592592592593	14.498164351787093	68.0	0.3781241641653541	Higher_in_Alcohol_user	0.655320778890573	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Fusobacterium	18	6	0.0	0.0019375950550261985	-3.4908308970654813	1.5816440013707935	-5.072474898436274	-0.962962962962963	-17.563915008439924	2.0	5.9437130375345475e-05	Higher_in_Non_alcohol_user	0.0007726826948794911	p<0.001	p<0.001
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Granulicatella	18	6	0.00861535947272838	0.005148880960590659	-2.8228982746426485	2.810193556514334	-5.633091831156983	-0.33333333333333337	0.7426509500615737	36.0	0.2508692680317394	Higher_in_Alcohol_user	0.6522600968825225	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Neisseria	18	6	0.01069149041925694	0.0011191131350894743	2.010111045060122	-2.320033914725421	4.330144959785543	0.35185185185185186	3.256023644311969	73.0	0.2240631222324586	Higher_in_Alcohol_user	0.6522600968825225	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Peptoniphilus	18	6	0.0001451598648700411	0.0	-3.3588715099399424	-3.3368459155295787	-0.02202559441036378	-0.16666666666666663	13.825454381679911	45.0	0.5805224523759993	Higher_in_Alcohol_user	0.6860719891716356	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Prevotella_7	18	6	0.0006142172697396506	0.002187457450746562	0.6171618814183901	1.7371409939265692	-1.119979112508179	-0.2592592592592593	-1.832417080050101	40.0	0.3781241641653541	Higher_in_Non_alcohol_user	0.655320778890573	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:TM7x	18	6	0.00044232527018178355	0.0	-3.1613371045167393	-3.3368459155295787	0.17550881101283933	0.11111111111111116	15.432852661550069	60.0	0.721120984278879	Higher_in_Alcohol_user	0.721120984278879	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:Veillonella	18	6	0.05981311696812478	0.03850880677596654	4.801465648915716	5.062643333319369	-0.26117768440365285	-0.12962962962962965	0.6352733466861343	47.0	0.6729174715444739	Higher_in_Alcohol_user	0.721120984278879	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Genus:[Eubacterium]_saphenum_group	18	6	0.0008459686143323074	0.00024142494366751315	-0.7853373866041478	-2.9895378663035963	2.2042004796994483	0.16666666666666674	1.8089866964533676	63.0	0.5805224523759993	Higher_in_Alcohol_user	0.6860719891716356	NS	NS
PRJNA255332	Genus	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Unclassified_Genus	18	6	0.9165712552198602	0.9501389547069804	8.871392433767724	8.489728926237929	0.3816635075297956	0.22222222222222232	-0.05189147597193736	66.0	0.45368361615501207	Higher_in_Non_alcohol_user	0.655320778890573	NS	NS
