dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Genus:Campylobacter	1.1831909800286855	0.30425428890198836	3.8888226828244825	0.0008472224746709554	24	Smoking_status;Age		Non_alcohol_user	CLR(Genus:Campylobacter) ~ Primary_group + Smoking_status + Age	0.003178179974192785	Positive	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Genus:Fusobacterium	-2.06232146678356	0.2807934877145456	-7.34462000372357	3.151892621759857e-07	24	Smoking_status;Age		Non_alcohol_user	CLR(Genus:Fusobacterium) ~ Primary_group + Smoking_status + Age	2.048730204143907e-06	Negative	p<0.001	p<0.001
PRJNA255332	Genus	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Genus:Granulicatella	-2.148597253102844	0.5611883197952358	-3.828656401627917	0.000977901530520857	24	Smoking_status;Age		Non_alcohol_user	CLR(Genus:Granulicatella) ~ Primary_group + Smoking_status + Age	0.003178179974192785	Negative	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Unclassified_Genus	3.7929221394328794	0.18249681034311607	20.783498255677603	1.7369744086899297e-15	24	Smoking_status;Age		Non_alcohol_user	CLR(Unclassified_Genus) ~ Primary_group + Smoking_status + Age	2.2580667312969085e-14	Positive	p<0.001	p<0.001
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Campylobacter	1.1831909800286855	0.30425428890198836	3.8888226828244825	0.0008472224746709554	24	Smoking_status;Age			CLR(Genus:Campylobacter) ~ Alcohol_user + Smoking_status + Age	0.003178179974192785	Positive	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Fusobacterium	-2.06232146678356	0.2807934877145456	-7.34462000372357	3.151892621759857e-07	24	Smoking_status;Age			CLR(Genus:Fusobacterium) ~ Alcohol_user + Smoking_status + Age	2.048730204143907e-06	Negative	p<0.001	p<0.001
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Granulicatella	-2.148597253102844	0.5611883197952358	-3.828656401627917	0.000977901530520857	24	Smoking_status;Age			CLR(Genus:Granulicatella) ~ Alcohol_user + Smoking_status + Age	0.003178179974192785	Negative	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Unclassified_Genus	3.7929221394328794	0.18249681034311607	20.783498255677603	1.7369744086899297e-15	24	Smoking_status;Age			CLR(Unclassified_Genus) ~ Alcohol_user + Smoking_status + Age	2.2580667312969085e-14	Positive	p<0.001	p<0.001
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Genus:Campylobacter	0.7118179536630382	0.2602463757649407	2.735169516081812	0.012401980257509321	24	Smoking_status;Age			CLR(Genus:Campylobacter) ~ Alcohol_days_per_week + Smoking_status + Age	0.032245148669524236	Positive	p<0.05	p<0.05
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Genus:Eikenella	1.003850125194161	0.2554007864407155	3.9304895618525357	0.0007670369360524501	24	Smoking_status;Age			CLR(Genus:Eikenella) ~ Alcohol_days_per_week + Smoking_status + Age	0.0024928700421704628	Positive	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Genus:Fusobacterium	-1.2353481675762226	0.24017898902864185	-5.143448111645206	4.2748929533086744e-05	24	Smoking_status;Age			CLR(Genus:Fusobacterium) ~ Alcohol_days_per_week + Smoking_status + Age	0.0002778680419650638	Negative	p<0.001	p<0.001
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Genus:Granulicatella	-2.0671074705381507	0.4800169847248197	-4.306321518442031	0.00031233572664308024	24	Smoking_status;Age			CLR(Genus:Granulicatella) ~ Alcohol_days_per_week + Smoking_status + Age	0.0013534548154533477	Negative	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_days_per_week	Alcohol days per week	continuous	MAIN_Z	Unclassified_Genus	1.6699432814468422	0.15610012812590893	10.697898211203782	5.869909511022166e-10	24	Smoking_status;Age			CLR(Unclassified_Genus) ~ Alcohol_days_per_week + Smoking_status + Age	7.630882364328815e-09	Positive	p<0.001	p<0.001
