dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Campylobacter	1.1831909800286855	0.30425428890198836	3.8888226828244825	0.0008472224746709554	24	Smoking_status;Age			CLR(Genus:Campylobacter) ~ Alcohol_user + Smoking_status + Age	0.003178179974192785	Positive	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Candidatus_Saccharimonas	-0.41040541694491	0.37851884897315113	-1.0842403702173908	0.29054978391213193	24	Smoking_status;Age			CLR(Genus:Candidatus_Saccharimonas) ~ Alcohol_user + Smoking_status + Age	0.47214339885721435	Negative	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Catonella	-0.2762773167504821	0.4431295686677776	-0.6234684757803024	0.5396901190497971	24	Smoking_status;Age			CLR(Genus:Catonella) ~ Alcohol_user + Smoking_status + Age	0.7015971547647363	Negative	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Eikenella	0.5550413514990071	0.2985893057496974	1.8588788707800854	0.077116188410521	24	Smoking_status;Age			CLR(Genus:Eikenella) ~ Alcohol_user + Smoking_status + Age	0.16708507488946214	Positive	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Fusobacterium	-2.06232146678356	0.2807934877145456	-7.34462000372357	3.151892621759857e-07	24	Smoking_status;Age			CLR(Genus:Fusobacterium) ~ Alcohol_user + Smoking_status + Age	2.048730204143907e-06	Negative	p<0.001	p<0.001
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Granulicatella	-2.148597253102844	0.5611883197952358	-3.828656401627917	0.000977901530520857	24	Smoking_status;Age			CLR(Genus:Granulicatella) ~ Alcohol_user + Smoking_status + Age	0.003178179974192785	Negative	p<0.001	p<0.005
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Neisseria	1.0451073331519247	0.7655996511870744	1.3650833454945666	0.18667424849109868	24	Smoking_status;Age			CLR(Genus:Neisseria) ~ Alcohol_user + Smoking_status + Age	0.3466807471977547	Positive	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Peptoniphilus	-0.7353927011886449	0.3848666777982285	-1.9107725963591589	0.06978219154659085	24	Smoking_status;Age			CLR(Genus:Peptoniphilus) ~ Alcohol_user + Smoking_status + Age	0.16708507488946214	Negative	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Prevotella_7	-0.22752794423200579	0.4370601614190425	-0.5205872424822943	0.6081001220383585	24	Smoking_status;Age			CLR(Genus:Prevotella_7) ~ Alcohol_user + Smoking_status + Age	0.7186637805907873	Negative	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:TM7x	-0.18908685934393143	0.45969759150588035	-0.4113288014507961	0.6849990118766227	24	Smoking_status;Age			CLR(Genus:TM7x) ~ Alcohol_user + Smoking_status + Age	0.719344470377605	Negative	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:Veillonella	-0.7449470783548504	0.7895673782666219	-0.9434876602808379	0.3561605457042133	24	Smoking_status;Age			CLR(Genus:Veillonella) ~ Alcohol_user + Smoking_status + Age	0.5144541215727525	Negative	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Genus:[Eubacterium]_saphenum_group	0.2182942325887305	0.5993675738632283	0.36420761166926896	0.719344470377605	24	Smoking_status;Age			CLR(Genus:[Eubacterium]_saphenum_group) ~ Alcohol_user + Smoking_status + Age	0.719344470377605	Positive	NS	NS
PRJNA255332	Genus	ALCOHOL_REGRESSION	Alcohol_user	Alcohol user	categorical	MAIN_Yes	Unclassified_Genus	3.7929221394328794	0.18249681034311607	20.783498255677603	1.7369744086899297e-15	24	Smoking_status;Age			CLR(Unclassified_Genus) ~ Alcohol_user + Smoking_status + Age	2.2580667312969085e-14	Positive	p<0.001	p<0.001
