dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Campylobacter	0.4895795148710638	0.30606001374722286	1.5996193324208992	0.12462090608778231	24	Smoking_status;BMI_kg_m2			CLR(Genus:Campylobacter) ~ Age + Smoking_status + BMI_kg_m2	0.6066578919613126	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Candidatus_Saccharimonas	0.19165364113921918	0.380765328036592	0.5033379539242109	0.6199655209323778	24	Smoking_status;BMI_kg_m2			CLR(Genus:Candidatus_Saccharimonas) ~ Age + Smoking_status + BMI_kg_m2	0.7326865247382647	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Catonella	0.6085136892529115	0.44575950717970175	1.3651165694769976	0.18666396675732697	24	Smoking_status;BMI_kg_m2			CLR(Genus:Catonella) ~ Age + Smoking_status + BMI_kg_m2	0.6066578919613126	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Eikenella	-0.3164022354269804	0.30036140937347644	-1.053405083186164	0.30412567715239824	24	Smoking_status;BMI_kg_m2			CLR(Genus:Eikenella) ~ Age + Smoking_status + BMI_kg_m2	0.6589389671635295	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Fusobacterium	-1.8310603832515602	0.28245997458306615	-6.482548141393675	2.0099669741697082e-06	24	Smoking_status;BMI_kg_m2			CLR(Genus:Fusobacterium) ~ Age + Smoking_status + BMI_kg_m2	2.6129570664206204e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Granulicatella	-0.3436597193617614	0.5645189275430074	-0.6087656278550199	0.5492090429432062	24	Smoking_status;BMI_kg_m2			CLR(Genus:Granulicatella) ~ Age + Smoking_status + BMI_kg_m2	0.7326865247382647	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Neisseria	1.1290495991270504	0.7701434238209477	1.4660251119531023	0.15745607903066447	24	Smoking_status;BMI_kg_m2			CLR(Genus:Neisseria) ~ Age + Smoking_status + BMI_kg_m2	0.6066578919613126	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Peptoniphilus	-0.2014978124140439	0.38715083071752227	-0.5204633347695519	0.6081849672690451	24	Smoking_status;BMI_kg_m2			CLR(Genus:Peptoniphilus) ~ Age + Smoking_status + BMI_kg_m2	0.7326865247382647	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Prevotella_7	-0.22533534603731356	0.43965407848487825	-0.5125287289813323	0.61362989537735	24	Smoking_status;BMI_kg_m2			CLR(Genus:Prevotella_7) ~ Age + Smoking_status + BMI_kg_m2	0.7326865247382647	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:TM7x	0.19332508048476751	0.46242585990686924	0.41806719140599624	0.6801420514576803	24	Smoking_status;BMI_kg_m2			CLR(Genus:TM7x) ~ Age + Smoking_status + BMI_kg_m2	0.7368205557458203	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Veillonella	-0.24538519169849649	0.7942533974417929	-0.3089507611662179	0.7604032480607715	24	Smoking_status;BMI_kg_m2			CLR(Genus:Veillonella) ~ Age + Smoking_status + BMI_kg_m2	0.7604032480607715	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:[Eubacterium]_saphenum_group	0.35366550179037903	0.6029247724271618	0.5865831326960523	0.5637367891285088	24	Smoking_status;BMI_kg_m2			CLR(Genus:[Eubacterium]_saphenum_group) ~ Age + Smoking_status + BMI_kg_m2	0.7326865247382647	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Unclassified_Genus	0.1975536615247646	0.18357991430132772	1.0761180615897903	0.2940827024174591	24	Smoking_status;BMI_kg_m2			CLR(Unclassified_Genus) ~ Age + Smoking_status + BMI_kg_m2	0.6589389671635295	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Campylobacter	0.6974014874806105	0.26160004681274723	2.66590734970246	0.014460602686085886	24	Smoking_status;Age			CLR(Genus:Campylobacter) ~ BMI_kg_m2 + Smoking_status + Age	0.0375975669838233	Positive	p<0.05	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Candidatus_Saccharimonas	0.08323891689283494	0.3254532548028657	0.2557630494224266	0.8006223497866296	24	Smoking_status;Age			CLR(Genus:Candidatus_Saccharimonas) ~ BMI_kg_m2 + Smoking_status + Age	0.89453213674847	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Catonella	0.05112619613771105	0.3810060207399281	0.13418737068359718	0.89453213674847	24	Smoking_status;Age			CLR(Genus:Catonella) ~ BMI_kg_m2 + Smoking_status + Age	0.89453213674847	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Eikenella	1.0378058479499312	0.25672925316450995	4.042413691301918	0.0005870912408403514	24	Smoking_status;Age			CLR(Genus:Eikenella) ~ BMI_kg_m2 + Smoking_status + Age	0.001908046532731142	Positive	p<0.001	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Fusobacterium	-1.1574132874782026	0.24142827960102306	-4.794025328726644	9.761894006407042e-05	24	Smoking_status;Age			CLR(Genus:Fusobacterium) ~ BMI_kg_m2 + Smoking_status + Age	0.0006345231104164577	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Granulicatella	-2.0833697708164594	0.48251379219338664	-4.317741387963198	0.0003039221250116526	24	Smoking_status;Age			CLR(Genus:Granulicatella) ~ BMI_kg_m2 + Smoking_status + Age	0.0013169958750504946	Negative	p<0.001	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Neisseria	0.6794657564990495	0.6582681391711771	1.0322021013421099	0.3137193173536141	24	Smoking_status;Age			CLR(Genus:Neisseria) ~ BMI_kg_m2 + Smoking_status + Age	0.5826215893709976	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Peptoniphilus	-0.04742650422288974	0.33091116411876187	-0.14332095548722157	0.8874030514648318	24	Smoking_status;Age			CLR(Genus:Peptoniphilus) ~ BMI_kg_m2 + Smoking_status + Age	0.89453213674847	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Prevotella_7	-0.30043170435062766	0.3757875003170126	-0.7994723190558092	0.4329670517114428	24	Smoking_status;Age			CLR(Genus:Prevotella_7) ~ BMI_kg_m2 + Smoking_status + Age	0.6347699801335135	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:TM7x	0.26213921417614305	0.39525132707787286	0.6632215914723446	0.5144036827152656	24	Smoking_status;Age			CLR(Genus:TM7x) ~ BMI_kg_m2 + Smoking_status + Age	0.6687247875298452	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Veillonella	-1.3160640044266385	0.6788757649457625	-1.9385932925912932	0.06610880854650526	24	Smoking_status;Age			CLR(Genus:Veillonella) ~ BMI_kg_m2 + Smoking_status + Age	0.1432357518507614	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:[Eubacterium]_saphenum_group	0.40612924100930414	0.5153405920636754	0.7880792766255115	0.4394561400924324	24	Smoking_status;Age			CLR(Genus:[Eubacterium]_saphenum_group) ~ BMI_kg_m2 + Smoking_status + Age	0.6347699801335135	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Genus	1.687398611149232	0.15691208265700216	10.753783791384356	5.347274357983505e-10	24	Smoking_status;Age			CLR(Unclassified_Genus) ~ BMI_kg_m2 + Smoking_status + Age	6.951456665378556e-09	Positive	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Campylobacter	0.417907332057825	0.14610792108564738	2.8602647204380576	0.009369589119927848	24	Age;BMI_kg_m2			CLR(Genus:Campylobacter) ~ Smoking_status + Age + BMI_kg_m2	0.012180465855906202	Positive	p<0.01	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Candidatus_Saccharimonas	-1.000604742646293	0.18177098608793948	-5.504754989678098	1.8389340766360167e-05	24	Age;BMI_kg_m2			CLR(Genus:Candidatus_Saccharimonas) ~ Smoking_status + Age + BMI_kg_m2	5.976535749067054e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Catonella	-0.8097650640386463	0.21279811792722267	-3.8053206105684985	0.0010338023693507307	24	Age;BMI_kg_m2			CLR(Genus:Catonella) ~ Smoking_status + Age + BMI_kg_m2	0.0016799288501949373	Negative	p<0.005	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Eikenella	-1.2633393547460852	0.14338750286458132	-8.810665710101764	1.6942706002235913e-08	24	Age;BMI_kg_m2			CLR(Genus:Eikenella) ~ Smoking_status + Age + BMI_kg_m2	1.1012758901453343e-07	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Fusobacterium	-0.5610268575240724	0.13484165791850702	-4.160634526335585	0.000442531390242038	24	Age;BMI_kg_m2			CLR(Genus:Fusobacterium) ~ Smoking_status + Age + BMI_kg_m2	0.0008218440104494992	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Granulicatella	0.9440694996577293	0.2694918748351406	3.503146431539934	0.002116580748333026	24	Age;BMI_kg_m2			CLR(Genus:Granulicatella) ~ Smoking_status + Age + BMI_kg_m2	0.0030572833031477045	Positive	p<0.005	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Neisseria	0.00967192708358438	0.3676535631511658	0.026307176246807198	0.9792607237604479	24	Age;BMI_kg_m2			CLR(Genus:Neisseria) ~ Smoking_status + Age + BMI_kg_m2	0.9792607237604479	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Peptoniphilus	-1.1752903925473748	0.1848193180486382	-6.3591317452977405	2.641253226662102e-06	24	Age;BMI_kg_m2			CLR(Genus:Peptoniphilus) ~ Smoking_status + Age + BMI_kg_m2	1.1445430648869107e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Prevotella_7	0.3408153017208366	0.2098834885935323	1.6238309359383263	0.11932834401451045	24	Age;BMI_kg_m2			CLR(Genus:Prevotella_7) ~ Smoking_status + Age + BMI_kg_m2	0.1292723726823863	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:TM7x	-1.005735010497901	0.22075435539592284	-4.555901099636815	0.00017206530106553928	24	Age;BMI_kg_m2			CLR(Genus:TM7x) ~ Smoking_status + Age + BMI_kg_m2	0.0003769542567910314	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Veillonella	1.7256723671052066	0.3791632604815753	4.551264710914844	0.00017397888774970682	24	Age;BMI_kg_m2			CLR(Genus:Veillonella) ~ Smoking_status + Age + BMI_kg_m2	0.0003769542567910314	Positive	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:[Eubacterium]_saphenum_group	-0.639196417093814	0.2878261815119878	-2.2207723207667676	0.037499441197505604	24	Age;BMI_kg_m2			CLR(Genus:[Eubacterium]_saphenum_group) ~ Smoking_status + Age + BMI_kg_m2	0.044317521415233894	Negative	p<0.05	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Unclassified_Genus	3.0168214114690057	0.08763797434120607	34.42367802481876	5.865942613220187e-20	24	Age;BMI_kg_m2			CLR(Unclassified_Genus) ~ Smoking_status + Age + BMI_kg_m2	7.625725397186243e-19	Positive	p<0.001	p<0.001
