dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Genus:Fusobacterium	-1.8310603832515602	0.28245997458306615	-6.482548141393675	2.0099669741697082e-06	24	Smoking_status;BMI_kg_m2			CLR(Genus:Fusobacterium) ~ Age + Smoking_status + BMI_kg_m2	2.6129570664206204e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Campylobacter	0.6974014874806105	0.26160004681274723	2.66590734970246	0.014460602686085886	24	Smoking_status;Age			CLR(Genus:Campylobacter) ~ BMI_kg_m2 + Smoking_status + Age	0.0375975669838233	Positive	p<0.05	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Eikenella	1.0378058479499312	0.25672925316450995	4.042413691301918	0.0005870912408403514	24	Smoking_status;Age			CLR(Genus:Eikenella) ~ BMI_kg_m2 + Smoking_status + Age	0.001908046532731142	Positive	p<0.001	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Fusobacterium	-1.1574132874782026	0.24142827960102306	-4.794025328726644	9.761894006407042e-05	24	Smoking_status;Age			CLR(Genus:Fusobacterium) ~ BMI_kg_m2 + Smoking_status + Age	0.0006345231104164577	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Granulicatella	-2.0833697708164594	0.48251379219338664	-4.317741387963198	0.0003039221250116526	24	Smoking_status;Age			CLR(Genus:Granulicatella) ~ BMI_kg_m2 + Smoking_status + Age	0.0013169958750504946	Negative	p<0.001	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Genus	1.687398611149232	0.15691208265700216	10.753783791384356	5.347274357983505e-10	24	Smoking_status;Age			CLR(Unclassified_Genus) ~ BMI_kg_m2 + Smoking_status + Age	6.951456665378556e-09	Positive	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Campylobacter	0.417907332057825	0.14610792108564738	2.8602647204380576	0.009369589119927848	24	Age;BMI_kg_m2			CLR(Genus:Campylobacter) ~ Smoking_status + Age + BMI_kg_m2	0.012180465855906202	Positive	p<0.01	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Candidatus_Saccharimonas	-1.000604742646293	0.18177098608793948	-5.504754989678098	1.8389340766360167e-05	24	Age;BMI_kg_m2			CLR(Genus:Candidatus_Saccharimonas) ~ Smoking_status + Age + BMI_kg_m2	5.976535749067054e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Catonella	-0.8097650640386463	0.21279811792722267	-3.8053206105684985	0.0010338023693507307	24	Age;BMI_kg_m2			CLR(Genus:Catonella) ~ Smoking_status + Age + BMI_kg_m2	0.0016799288501949373	Negative	p<0.005	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Eikenella	-1.2633393547460852	0.14338750286458132	-8.810665710101764	1.6942706002235913e-08	24	Age;BMI_kg_m2			CLR(Genus:Eikenella) ~ Smoking_status + Age + BMI_kg_m2	1.1012758901453343e-07	Negative	p<0.001	p<0.001
