dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Campylobacter	0.6974014874806105	0.26160004681274723	2.66590734970246	0.014460602686085886	24	Smoking_status;Age			CLR(Genus:Campylobacter) ~ BMI_kg_m2 + Smoking_status + Age	0.0375975669838233	Positive	p<0.05	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Candidatus_Saccharimonas	0.08323891689283494	0.3254532548028657	0.2557630494224266	0.8006223497866296	24	Smoking_status;Age			CLR(Genus:Candidatus_Saccharimonas) ~ BMI_kg_m2 + Smoking_status + Age	0.89453213674847	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Catonella	0.05112619613771105	0.3810060207399281	0.13418737068359718	0.89453213674847	24	Smoking_status;Age			CLR(Genus:Catonella) ~ BMI_kg_m2 + Smoking_status + Age	0.89453213674847	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Eikenella	1.0378058479499312	0.25672925316450995	4.042413691301918	0.0005870912408403514	24	Smoking_status;Age			CLR(Genus:Eikenella) ~ BMI_kg_m2 + Smoking_status + Age	0.001908046532731142	Positive	p<0.001	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Fusobacterium	-1.1574132874782026	0.24142827960102306	-4.794025328726644	9.761894006407042e-05	24	Smoking_status;Age			CLR(Genus:Fusobacterium) ~ BMI_kg_m2 + Smoking_status + Age	0.0006345231104164577	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Granulicatella	-2.0833697708164594	0.48251379219338664	-4.317741387963198	0.0003039221250116526	24	Smoking_status;Age			CLR(Genus:Granulicatella) ~ BMI_kg_m2 + Smoking_status + Age	0.0013169958750504946	Negative	p<0.001	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Neisseria	0.6794657564990495	0.6582681391711771	1.0322021013421099	0.3137193173536141	24	Smoking_status;Age			CLR(Genus:Neisseria) ~ BMI_kg_m2 + Smoking_status + Age	0.5826215893709976	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Peptoniphilus	-0.04742650422288974	0.33091116411876187	-0.14332095548722157	0.8874030514648318	24	Smoking_status;Age			CLR(Genus:Peptoniphilus) ~ BMI_kg_m2 + Smoking_status + Age	0.89453213674847	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Prevotella_7	-0.30043170435062766	0.3757875003170126	-0.7994723190558092	0.4329670517114428	24	Smoking_status;Age			CLR(Genus:Prevotella_7) ~ BMI_kg_m2 + Smoking_status + Age	0.6347699801335135	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:TM7x	0.26213921417614305	0.39525132707787286	0.6632215914723446	0.5144036827152656	24	Smoking_status;Age			CLR(Genus:TM7x) ~ BMI_kg_m2 + Smoking_status + Age	0.6687247875298452	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:Veillonella	-1.3160640044266385	0.6788757649457625	-1.9385932925912932	0.06610880854650526	24	Smoking_status;Age			CLR(Genus:Veillonella) ~ BMI_kg_m2 + Smoking_status + Age	0.1432357518507614	Negative	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Genus:[Eubacterium]_saphenum_group	0.40612924100930414	0.5153405920636754	0.7880792766255115	0.4394561400924324	24	Smoking_status;Age			CLR(Genus:[Eubacterium]_saphenum_group) ~ BMI_kg_m2 + Smoking_status + Age	0.6347699801335135	Positive	NS	NS
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Genus	1.687398611149232	0.15691208265700216	10.753783791384356	5.347274357983505e-10	24	Smoking_status;Age			CLR(Unclassified_Genus) ~ BMI_kg_m2 + Smoking_status + Age	6.951456665378556e-09	Positive	p<0.001	p<0.001
