dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Campylobacter	0.417907332057825	0.14610792108564738	2.8602647204380576	0.009369589119927848	24	Age;BMI_kg_m2			CLR(Genus:Campylobacter) ~ Smoking_status + Age + BMI_kg_m2	0.012180465855906202	Positive	p<0.01	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Candidatus_Saccharimonas	-1.000604742646293	0.18177098608793948	-5.504754989678098	1.8389340766360167e-05	24	Age;BMI_kg_m2			CLR(Genus:Candidatus_Saccharimonas) ~ Smoking_status + Age + BMI_kg_m2	5.976535749067054e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Catonella	-0.8097650640386463	0.21279811792722267	-3.8053206105684985	0.0010338023693507307	24	Age;BMI_kg_m2			CLR(Genus:Catonella) ~ Smoking_status + Age + BMI_kg_m2	0.0016799288501949373	Negative	p<0.005	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Eikenella	-1.2633393547460852	0.14338750286458132	-8.810665710101764	1.6942706002235913e-08	24	Age;BMI_kg_m2			CLR(Genus:Eikenella) ~ Smoking_status + Age + BMI_kg_m2	1.1012758901453343e-07	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Fusobacterium	-0.5610268575240724	0.13484165791850702	-4.160634526335585	0.000442531390242038	24	Age;BMI_kg_m2			CLR(Genus:Fusobacterium) ~ Smoking_status + Age + BMI_kg_m2	0.0008218440104494992	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Granulicatella	0.9440694996577293	0.2694918748351406	3.503146431539934	0.002116580748333026	24	Age;BMI_kg_m2			CLR(Genus:Granulicatella) ~ Smoking_status + Age + BMI_kg_m2	0.0030572833031477045	Positive	p<0.005	p<0.005
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Peptoniphilus	-1.1752903925473748	0.1848193180486382	-6.3591317452977405	2.641253226662102e-06	24	Age;BMI_kg_m2			CLR(Genus:Peptoniphilus) ~ Smoking_status + Age + BMI_kg_m2	1.1445430648869107e-05	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:TM7x	-1.005735010497901	0.22075435539592284	-4.555901099636815	0.00017206530106553928	24	Age;BMI_kg_m2			CLR(Genus:TM7x) ~ Smoking_status + Age + BMI_kg_m2	0.0003769542567910314	Negative	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:Veillonella	1.7256723671052066	0.3791632604815753	4.551264710914844	0.00017397888774970682	24	Age;BMI_kg_m2			CLR(Genus:Veillonella) ~ Smoking_status + Age + BMI_kg_m2	0.0003769542567910314	Positive	p<0.001	p<0.001
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Genus:[Eubacterium]_saphenum_group	-0.639196417093814	0.2878261815119878	-2.2207723207667676	0.037499441197505604	24	Age;BMI_kg_m2			CLR(Genus:[Eubacterium]_saphenum_group) ~ Smoking_status + Age + BMI_kg_m2	0.044317521415233894	Negative	p<0.05	p<0.05
PRJNA255332	Genus	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Unclassified_Genus	3.0168214114690057	0.08763797434120607	34.42367802481876	5.865942613220187e-20	24	Age;BMI_kg_m2			CLR(Unclassified_Genus) ~ Smoking_status + Age + BMI_kg_m2	7.625725397186243e-19	Positive	p<0.001	p<0.001
