dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Campylobacter	0.3076412618597263	0.14362824945899702	24	0.622389080988987	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Candidatus_Saccharimonas	-0.04394875169424661	0.8384250847828283	24	0.9082938418480639	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Catonella	0.2314322562622561	0.2765448857269599	24	0.7190167028900957	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Eikenella	-0.3221349991205949	0.12474902869770238	24	0.622389080988987	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Fusobacterium	-0.7709733142958795	1.0380120697477038e-05	24	0.00013494156906720148	Negative	p<0.001	p<0.001
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Granulicatella	0.11361219852874391	0.597091260102719	24	0.8626423142129327	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Neisseria	0.19730184271246884	0.35543039253512887	24	0.7700991838261125	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Peptoniphilus	-0.2524715522860976	0.23395712755236053	24	0.7190167028900957	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Prevotella_7	-0.09865092135623442	0.6465138327168495	24	0.8626423142129327	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:TM7x	-0.0743388459509065	0.7299281120263277	24	0.8626423142129327	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:Veillonella	0.08322210427208401	0.6990445892064705	24	0.8626423142129327	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Genus:[Eubacterium]_saphenum_group	-0.008415718409536584	0.9688680297389585	24	0.9688680297389585	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Age	Age	Unclassified_Genus	0.09117028276997967	0.6717975485472747	24	0.8626423142129327	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Campylobacter	0.22909455670405154	0.28156148074561077	24	0.5228998928132772	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Candidatus_Saccharimonas	0.34878477408412734	0.09483995589525122	24	0.41097314221275527	Positive	NS	NS
