dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Campylobacter	0.4778257896970217	0.018200860134499848	24	0.078870393916166	Positive	p<0.05	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Candidatus_Saccharimonas	0.33569365655818156	0.1087802245097802	24	0.2828285837254285	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Catonella	0.17252222739550002	0.42016476291823013	24	0.45517849316141595	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Eikenella	0.6363218197432942	0.0008297663147791577	24	0.01078696209212905	Positive	p<0.001	p<0.05
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Fusobacterium	-0.3960063051598604	0.05541398508234777	24	0.18009545151763026	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Granulicatella	-0.5175666821865	0.009589279567422504	24	0.062330317188246276	Negative	p<0.01	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Neisseria	0.22909455670405154	0.28156148074561077	24	0.42517202192010584	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Peptoniphilus	0.05049431045721951	0.8147411031983607	24	0.8147411031983607	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Prevotella_7	-0.2155358992664648	0.3117817481912205	24	0.42517202192010584	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:TM7x	0.2089903405034919	0.3270554014770045	24	0.42517202192010584	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:Veillonella	-0.2403155145834336	0.25800171363305635	24	0.42517202192010584	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Genus:[Eubacterium]_saphenum_group	0.21039296023841464	0.323745079152607	24	0.42517202192010584	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Unclassified_Genus	0.17813270633519107	0.4049726919392751	24	0.45517849316141595	Positive	NS	NS
