dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Campylobacter	0.22909455670405154	0.28156148074561077	24	0.5228998928132772	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Candidatus_Saccharimonas	0.34878477408412734	0.09483995589525122	24	0.41097314221275527	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Catonella	-0.004207859204768292	0.9844312587520078	24	0.9844312587520078	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Eikenella	0.8336236624557629	4.22286969920725e-07	24	5.489730608969424e-06	Positive	p<0.001	p<0.001
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Fusobacterium	0.18280810545160028	0.39254956707620703	24	0.5670160413322991	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Granulicatella	-0.570866232113565	0.003575996612912174	24	0.023243977983929128	Negative	p<0.005	p<0.05
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Neisseria	0.07387130603926559	0.7315653856784794	24	0.7925291678183526	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Peptoniphilus	0.23002963652733335	0.2795479990101557	24	0.5228998928132772	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Prevotella_7	-0.13231379499438078	0.5376843116989156	24	0.6989896052085902	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:TM7x	0.2510689325511748	0.23665333956041681	24	0.5228998928132772	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:Veillonella	-0.28706950574752577	0.173797279777613	24	0.5228998928132772	Negative	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Genus:[Eubacterium]_saphenum_group	0.20478248129872362	0.3371084021184543	24	0.5478011534424881	Positive	NS	NS
PRJNA255332	Genus	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Genus	0.10239124064936181	0.6340107821206442	24	0.7492854697789432	Positive	NS	NS
