Taxon	SRR1515143	SRR1515152	SRR1515153	SRR1515154	SRR1515157	SRR1515158	SRR1515163	SRR1515164	SRR1515167	SRR1515169	SRR1515170	SRR1515171	SRR1515172	SRR1515173	SRR1515174	SRR1515175	SRR1515176	SRR1515177	SRR1515178	SRR1515179	SRR1515180	SRR1515181	SRR1515182	SRR1515183
Order:Bacteroidales	0.0	36.0	214.0	122.0	74.0	48.0	213.0	155.0	76.0	141.0	0.0	37.0	0.0	46.0	215.0	0.0	384.0	256.0	237.0	172.0	408.0	0.0	535.0	159.0
Order:Burkholderiales	2190.0	450.0	1032.0	112.0	210.0	3447.0	31.0	420.0	19.0	169.0	1520.0	9381.0	388.0	1787.0	259.0	3211.0	49.0	511.0	156.0	119.0	25.0	79.0	171.0	0.0
Order:Campylobacterales	98.0	122.0	176.0	223.0	194.0	406.0	588.0	52.0	178.0	494.0	196.0	50.0	23.0	210.0	471.0	174.0	245.0	470.0	32.0	22.0	91.0	0.0	57.0	37.0
Order:Enterobacterales	46.0	0.0	11576.0	177.0	0.0	3584.0	0.0	26.0	14.0	5033.0	7757.0	4962.0	904.0	4048.0	59.0	6632.0	691.0	7252.0	471.0	67.0	114.0	890.0	222.0	137.0
Order:Fusobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0	51.0	133.0	0.0	407.0	0.0
Order:Lachnospirales	0.0	315.0	16.0	121.0	38.0	0.0	475.0	0.0	76.0	120.0	84.0	101.0	17.0	98.0	132.0	82.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
Order:Lactobacillales	2778.0	6529.0	9349.0	2785.0	2514.0	0.0	0.0	999.0	0.0	0.0	5051.0	0.0	580.0	3493.0	0.0	3939.0	52.0	50.0	495.0	281.0	307.0	165.0	221.0	101.0
Order:Peptostreptococcales-Tissierellales	0.0	165.0	14.0	647.0	0.0	0.0	29.0	54.0	109.0	0.0	0.0	35.0	48.0	184.0	607.0	247.0	0.0	307.0	0.0	0.0	81.0	0.0	75.0	0.0
Order:Saccharimonadales	0.0	0.0	529.0	0.0	26.0	600.0	34.0	374.0	194.0	66.0	15.0	102.0	28.0	0.0	141.0	0.0	58.0	248.0	0.0	0.0	0.0	0.0	0.0	0.0
Order:Veillonellales-Selenomonadales	2866.0	27803.0	15151.0	26037.0	4227.0	14203.0	10106.0	17156.0	75.0	30643.0	0.0	0.0	0.0	0.0	0.0	0.0	48719.0	40.0	1751.0	1836.0	1200.0	1835.0	3226.0	1540.0
Unclassified_Order	283047.0	164789.0	173180.0	181970.0	148012.0	106494.0	163436.0	115684.0	42131.0	107625.0	117043.0	81040.0	30471.0	78919.0	111243.0	217030.0	196249.0	213532.0	62654.0	16490.0	53585.0	51235.0	85594.0	89191.0
