taxon	prevalence	mean_relative_abundance	total_count	kept
Order:Bacillales	0.08333333333333333	1.4204699033881642e-05	69.0	False
Order:Bacteroidales	0.7916666666666666	0.0016991859590055234	3528.0	True
Order:Blastocatellales	0.041666666666666664	4.294057025077293e-06	30.0	False
Order:Burkholderiales	0.9583333333333334	0.009202144953618626	25736.0	True
Order:Campylobacterales	0.9583333333333334	0.0014953577799964605	4609.0	True
Order:Coriobacteriales	0.041666666666666664	1.1965765943635258e-05	64.0	False
Order:Enterobacterales	0.875	0.01669897175209321	54662.0	True
Order:Erysipelotrichales	0.08333333333333333	5.6594130342013476e-05	93.0	False
Order:Flavobacteriales	0.041666666666666664	2.0451499486536822e-05	47.0	False
Order:Fusobacteriales	0.16666666666666666	0.00048378734202965705	727.0	True
Order:Lachnospirales	0.5833333333333334	0.0005487496648152379	1803.0	True
Order:Lactobacillales	0.75	0.011270437258986334	39689.0	True
Order:Peptostreptococcales-Tissierellales	0.5833333333333334	0.0008753738701250085	2602.0	True
Order:Rickettsiales	0.125	6.993872884388473e-05	64.0	False
Order:Saccharimonadales	0.5416666666666666	0.0008266140341939798	2415.0	True
Order:Staphylococcales	0.08333333333333333	0.0007037033509229457	738.0	False
Order:Veillonellales-Selenomonadales	0.75	0.05450857948295986	208414.0	True
Unclassified_Order	1.0	0.9015096456705781	2890644.0	True
