taxon	prevalence	mean_relative_abundance	total_count	kept
Phylum:Acidobacteriota	0.041666666666666664	4.294057025077293e-06	30.0	False
Phylum:Actinobacteriota	0.16666666666666666	0.0003623453821994381	682.0	True
Phylum:Bacteroidota	0.9166666666666666	0.006106583990060507	16642.0	True
Phylum:Campylobacterota	0.9583333333333334	0.0014953577799964605	4609.0	True
Phylum:Firmicutes	1.0	0.1193733999411087	421262.0	True
Phylum:Fusobacteriota	0.16666666666666666	0.00048378734202965705	727.0	True
Phylum:Patescibacteria	0.625	0.0009253019078917634	2841.0	True
Phylum:Phragmoplastophyta	0.041666666666666664	0.00010395259163533131	556.0	False
Phylum:Proteobacteria	1.0	0.04498708067822647	168564.0	True
Unclassified_Phylum	1.0	0.8261578963298266	2620021.0	True
