analysis_sample_id	Observed	Shannon	Simpson	Chao1
SRR1515143	6	0.1578097777229051	0.0538305415379664	6.0
SRR1515152	8	0.581816737401695	0.3021743601054241	8.0
SRR1515153	10	0.704226088190729	0.31772826712366875	10.0
SRR1515154	9	0.48939213703673334	0.24934296162062186	9.0
SRR1515157	8	0.23504635892495573	0.09058961581985259	8.0
SRR1515158	7	0.6429916964805898	0.3024969374367368	7.0
SRR1515163	8	0.27614125555761954	0.12355707157480955	8.0
SRR1515164	9	0.48032915594955844	0.24857686031774806	9.0
SRR1515167	9	0.11913120115255535	0.03421545219676214	9.0
SRR1515169	8	0.7083140134223149	0.3973179118040816	8.0
SRR1515170	7	0.46348966858762064	0.20470957269864465	7.0
SRR1515171	8	0.546361047625484	0.2707296510048799	8.0
SRR1515172	8	0.308711031667602	0.11750032174144376	8.0
SRR1515173	8	0.4899419308490053	0.2058535241497358	8.0
SRR1515174	8	0.11337036769668164	0.03297218252086731	8.0
SRR1515175	7	0.3059057889191247	0.11839094971507236	7.0
SRR1515176	8	0.5407035003472155	0.3267943057811479	8.0
SRR1515177	10	0.21126225130207135	0.08034173584710702	10.0
SRR1515178	8	0.2678481556318151	0.09612819517518778	8.0
SRR1515179	8	0.5300418379893226	0.24010280565149	8.0
SRR1515180	9	0.23847604334626596	0.08199811256886191	9.0
SRR1515181	5	0.2624946978434201	0.10512180440886543	5.0
SRR1515182	9	0.27806630742939803	0.10429706165009855	9.0
SRR1515183	6	0.12190842684420702	0.04254519183628891	6.0
