analysis_sample_id	Observed	Shannon	Simpson	Chao1
SRR1515143	5	0.638126707560284	0.36841086395046607	5.0
SRR1515152	5	0.5845901432373146	0.33212385186205895	5.0
SRR1515153	6	0.6742628086949027	0.3425915382150636	6.0
SRR1515154	6	0.44650598010347353	0.25636191180459433	6.0
SRR1515157	6	0.5375967975557474	0.28475851358265225	6.0
SRR1515158	6	0.6895689272124998	0.3403944183849934	6.0
SRR1515163	6	0.6052956678295411	0.33982057188713855	6.0
SRR1515164	7	0.6796374428154792	0.37525907195040153	7.0
SRR1515167	6	0.6028608155085644	0.2754859975214098	6.0
SRR1515169	6	0.7249416250389686	0.40952020653725973	6.0
SRR1515170	6	0.7201130464151393	0.35718697165189206	6.0
SRR1515171	6	0.8022227095836306	0.4290847103913922	6.0
SRR1515172	5	0.5155108545006772	0.2604745133447639	5.0
SRR1515173	6	0.8012728270225	0.4495663941595741	6.0
SRR1515174	6	0.7297062775286993	0.3743115438147331	6.0
SRR1515175	5	0.5163055488656141	0.2593028948554552	5.0
SRR1515176	6	0.6020755512928673	0.37517335270947016	6.0
SRR1515177	7	0.6351617576949183	0.321221144155694	7.0
SRR1515178	7	0.34616298255364664	0.13317492400894637	7.0
SRR1515179	6	0.5449147489290211	0.27954408968807354	6.0
SRR1515180	6	0.23798228130517585	0.09036989559476338	6.0
SRR1515181	4	0.2661107469877876	0.11092737201334235	4.0
SRR1515182	6	0.3089087779187494	0.12297016175766118	6.0
SRR1515183	5	0.1468960649267518	0.05467007117136047	5.0
