dataset	tax_level	group_variable	contrast	group_a	group_b	taxon	n_a	n_b	mean_relative_abundance_a	mean_relative_abundance_b	median_clr_a	median_clr_b	effect_size_clr_median_difference	rank_biserial	log2_fold_change	statistic	p_value	direction	FDR_p_value	raw_p_significance	FDR_p_significance
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Bacteroidales	18	6	0.0007358873776537353	0.004596225407895146	-0.6684309180017289	1.32329390869908	-1.991724826700809	-0.7037037037037037	-2.642876192433125	16.0	0.009420785164492258	Higher_in_Non_alcohol_user	0.05026152337365152	p<0.01	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Burkholderiales	18	6	0.01158414425062116	0.002068399821501214	1.0982443481431732	0.4449205724801488	0.6533237756630244	0.462962962962963	2.485558752632417	79.0	0.10355434039644565	Higher_in_Alcohol_user	0.18984962406015038	NS	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Campylobacterales	18	6	0.0017588318540418747	0.0007171991385775312	0.746267042130857	-0.7800876511741202	1.5263546933049772	0.6481481481481481	1.2941599929162921	89.0	0.018276917590418735	Higher_in_Alcohol_user	0.05026152337365152	p<0.05	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Enterobacterales	18	6	0.02043183697296212	0.005512632850276298	2.513576409098252	1.1265240360269515	1.3870523730713007	-0.01851851851851849	1.8900035838092575	53.0	0.9741002704389433	Higher_in_Alcohol_user	0.9741002704389433	NS	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Fusobacteriales	18	6	0.0	0.0019359669258838727	-5.265048512845411	0.23091971457543403	-5.495968227420844	-1.0	-17.56270223226043	0.0	1.4859282593836369e-05	Higher_in_Non_alcohol_user	0.00016345210853220007	p<0.001	p<0.001
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Lachnospirales	18	6	0.0007333720621365755	0.0	-0.41246827742250547	-4.770612531007099	4.358144253584593	0.6666666666666667	16.162277359011775	90.0	0.014799845463461024	Higher_in_Alcohol_user	0.05026152337365152	p<0.05	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Lactobacillales	18	6	0.013120547077205768	0.0057248382854883685	2.1744090786312618	1.6982537667200428	0.47615531191121896	0.09259259259259256	1.1965196098174173	59.0	0.7702606318166959	Higher_in_Alcohol_user	0.9414296611092949	NS	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Peptostreptococcales-Tissierellales	18	6	0.0010431287956278708	0.0003794220797137666	-0.8263013067451002	-3.6017664249917116	2.7754651182466112	0.22222222222222232	1.4590175654573003	66.0	0.45368361615501207	Higher_in_Alcohol_user	0.6795317097090553	NS	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Saccharimonadales	18	6	0.0011064899696491502	0.0	-0.61534115819182	-4.770612531007099	4.155271372815278	0.5925925925925926	16.75564388600319	86.0	0.033002466640910576	Higher_in_Alcohol_user	0.07260542661000327	p<0.05	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Order:Veillonellales-Selenomonadales	18	6	0.059865076035573464	0.038472614070476994	3.688122049409573	3.4144570035014783	0.2736650459080945	-0.05555555555555558	0.6378826192533275	51.0	0.8711700199114387	Higher_in_Alcohol_user	0.9582870219025826	NS	NS
PRJNA255332	Order	Primary_group	Alcohol_user_vs_Non_alcohol_user	Alcohol_user	Non_alcohol_user	Unclassified_Order	18	6	0.8896206856045281	0.9405927014201868	6.974440825986909	6.547484480730837	0.4269563452560714	0.20370370370370372	-0.08037980245989246	65.0	0.49420487978840383	Higher_in_Non_alcohol_user	0.6795317097090553	NS	NS
