dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Bacteroidales	-0.9093058803091452	0.4401577293494881	-2.0658637112950715	0.05139921129086352	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Bacteroidales) ~ Primary_group + Smoking_status + Age	0.11307826483989974	Negative	NS	NS
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Burkholderiales	1.2227194043261933	0.3759571242760706	3.2522841711820663	0.0038110770656170014	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Burkholderiales) ~ Primary_group + Smoking_status + Age	0.013973949240595673	Positive	p<0.005	p<0.05
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Campylobacterales	0.6410446893395444	0.21589183320776056	2.969286423737223	0.007317179481959877	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Campylobacterales) ~ Primary_group + Smoking_status + Age	0.02012224357538966	Positive	p<0.01	p<0.05
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Enterobacterales	0.814970839959552	0.6263243522771595	1.3011961565864727	0.2072873567700671	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Enterobacterales) ~ Primary_group + Smoking_status + Age	0.28502011555884227	Positive	NS	NS
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Fusobacteriales	-2.9085706057266263	0.2421844875266936	-12.009731240139992	7.173577552875503e-11	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Fusobacteriales) ~ Primary_group + Smoking_status + Age	3.9454676540815264e-10	Negative	p<0.001	p<0.001
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Lachnospirales	0.43494900647521995	0.43608864371088063	0.9973866844457059	0.32993146647891103	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Lachnospirales) ~ Primary_group + Smoking_status + Age	0.3897141675129919	Positive	NS	NS
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Lactobacillales	-1.1692306766093177	0.674802607538589	-1.732700294200411	0.09781137171465776	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Lactobacillales) ~ Primary_group + Smoking_status + Age	0.15370358412303362	Negative	NS	NS
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Peptostreptococcales-Tissierellales	-0.17335389281443872	0.5322629771014988	-0.32569218651738263	0.747880260781114	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Peptostreptococcales-Tissierellales) ~ Primary_group + Smoking_status + Age	0.747880260781114	Negative	NS	NS
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Saccharimonadales	0.44132318325245157	0.46589996992841337	0.947248791023236	0.35428560682999266	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Saccharimonadales) ~ Primary_group + Smoking_status + Age	0.3897141675129919	Positive	NS	NS
PRJNA255332	Order	ALCOHOL_REGRESSION	Primary_group	Primary group	categorical	MAIN_Alcohol_user	Order:Veillonellales-Selenomonadales	-1.3192644904990305	0.760727675885685	-1.7342138748443237	0.09753727988504082	24	Smoking_status;Age		Non_alcohol_user	CLR(Order:Veillonellales-Selenomonadales) ~ Primary_group + Smoking_status + Age	0.15370358412303362	Negative	NS	NS
