dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Campylobacterales	0.4617886805679538	0.21717313395298055	2.1263619130160647	0.04549551989577622	24	Smoking_status;BMI_kg_m2			CLR(Order:Campylobacterales) ~ Age + Smoking_status + BMI_kg_m2	0.16681690628451282	Positive	p<0.05	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Fusobacteriales	-1.8808506429512963	0.24362183307023733	-7.720369801211692	1.4498363306903164e-07	24	Smoking_status;BMI_kg_m2			CLR(Order:Fusobacteriales) ~ Age + Smoking_status + BMI_kg_m2	1.594819963759348e-06	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Order:Lachnospirales	0.978472822822987	0.43867679489690076	2.2305096467501793	0.036752170735754326	24	Smoking_status;BMI_kg_m2			CLR(Order:Lachnospirales) ~ Age + Smoking_status + BMI_kg_m2	0.16681690628451282	Positive	p<0.05	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Burkholderiales	0.8766603661950993	0.32325066530742713	2.712014112519622	0.013057152327149506	24	Smoking_status;Age			CLR(Order:Burkholderiales) ~ BMI_kg_m2 + Smoking_status + Age	0.03590716889966114	Positive	p<0.05	p<0.05
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Campylobacterales	0.5039938285187907	0.1856253657999655	2.7151129176058135	0.012967608981160736	24	Smoking_status;Age			CLR(Order:Campylobacterales) ~ BMI_kg_m2 + Smoking_status + Age	0.03590716889966114	Positive	p<0.05	p<0.05
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Fusobacteriales	-1.5899805024584963	0.20823198089645795	-7.635621078056709	1.7245084803055168e-07	24	Smoking_status;Age			CLR(Order:Fusobacteriales) ~ BMI_kg_m2 + Smoking_status + Age	9.484796641680342e-07	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Lactobacillales	-1.229699208652459	0.5802001817575861	-2.1194395439990408	0.0461385670623207	24	Smoking_status;Age			CLR(Order:Lactobacillales) ~ BMI_kg_m2 + Smoking_status + Age	0.08458737294758796	Negative	p<0.05	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Veillonellales-Selenomonadales	-1.609232819459871	0.6540791794312386	-2.4603027738311383	0.022633401271414215	24	Smoking_status;Age			CLR(Order:Veillonellales-Selenomonadales) ~ BMI_kg_m2 + Smoking_status + Age	0.04979348279711127	Negative	p<0.05	p<0.05
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Order	1.2395595934225234	0.136815741606855	9.060065595262005	1.0596758760266023e-08	24	Smoking_status;Age			CLR(Unclassified_Order) ~ BMI_kg_m2 + Smoking_status + Age	1.1656434636292626e-07	Positive	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Order:Fusobacteriales	-1.1039318690517248	0.1163009800762971	-9.49202550423488	4.788701736418534e-09	24	Age;BMI_kg_m2			CLR(Order:Fusobacteriales) ~ Smoking_status + Age + BMI_kg_m2	2.6337859550301936e-08	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Order:Lachnospirales	-1.198490136521876	0.20941694978762201	-5.722985354038019	1.1115531187186909e-05	24	Age;BMI_kg_m2			CLR(Order:Lachnospirales) ~ Smoking_status + Age + BMI_kg_m2	3.0567710764764e-05	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Order:Peptostreptococcales-Tissierellales	-0.9484402058004144	0.2556014488269365	-3.7106213996564144	0.001295012844470669	24	Age;BMI_kg_m2			CLR(Order:Peptostreptococcales-Tissierellales) ~ Smoking_status + Age + BMI_kg_m2	0.002849028257835472	Negative	p<0.005	p<0.005
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Order:Saccharimonadales	-1.2811821561909233	0.22373283967751897	-5.726392951689955	1.1028932837116912e-05	24	Age;BMI_kg_m2			CLR(Order:Saccharimonadales) ~ Smoking_status + Age + BMI_kg_m2	3.0567710764764e-05	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Order:Veillonellales-Selenomonadales	1.287442931553402	0.3653139603622107	3.524209505371477	0.0020139503510989655	24	Age;BMI_kg_m2			CLR(Order:Veillonellales-Selenomonadales) ~ Smoking_status + Age + BMI_kg_m2	0.0036922423103481036	Positive	p<0.005	p<0.005
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Unclassified_Order	2.4696513204418657	0.07641383792365065	32.31942521862902	2.1547819283791115e-19	24	Age;BMI_kg_m2			CLR(Unclassified_Order) ~ Smoking_status + Age + BMI_kg_m2	2.3702601212170226e-18	Positive	p<0.001	p<0.001
