dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Bacteroidales	-0.6351433169191402	0.37845081171529904	-1.67827177867687	0.10811506998644352	24	Smoking_status;Age			CLR(Order:Bacteroidales) ~ BMI_kg_m2 + Smoking_status + Age	0.13214064109454207	Negative	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Burkholderiales	0.8766603661950993	0.32325066530742713	2.712014112519622	0.013057152327149506	24	Smoking_status;Age			CLR(Order:Burkholderiales) ~ BMI_kg_m2 + Smoking_status + Age	0.03590716889966114	Positive	p<0.05	p<0.05
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Campylobacterales	0.5039938285187907	0.1856253657999655	2.7151129176058135	0.012967608981160736	24	Smoking_status;Age			CLR(Order:Campylobacterales) ~ BMI_kg_m2 + Smoking_status + Age	0.03590716889966114	Positive	p<0.05	p<0.05
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Enterobacterales	0.6496784334830915	0.5385182258793058	1.2064186544889557	0.24107191015510515	24	Smoking_status;Age			CLR(Order:Enterobacterales) ~ BMI_kg_m2 + Smoking_status + Age	0.26517910117061566	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Fusobacteriales	-1.5899805024584963	0.20823198089645795	-7.635621078056709	1.7245084803055168e-07	24	Smoking_status;Age			CLR(Order:Fusobacteriales) ~ BMI_kg_m2 + Smoking_status + Age	9.484796641680342e-07	Negative	p<0.001	p<0.001
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Lachnospirales	0.7396489096587306	0.3749521823372669	1.9726486322819201	0.06184553862734986	24	Smoking_status;Age			CLR(Order:Lachnospirales) ~ BMI_kg_m2 + Smoking_status + Age	0.08503761561260605	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Lactobacillales	-1.229699208652459	0.5802001817575861	-2.1194395439990408	0.0461385670623207	24	Smoking_status;Age			CLR(Order:Lactobacillales) ~ BMI_kg_m2 + Smoking_status + Age	0.08458737294758796	Negative	p<0.05	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Peptostreptococcales-Tissierellales	0.249902466066737	0.45764357251607624	0.5460635330084491	0.5907769100269356	24	Smoking_status;Age			CLR(Order:Peptostreptococcales-Tissierellales) ~ BMI_kg_m2 + Smoking_status + Age	0.5907769100269356	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Saccharimonadales	0.8046122501449939	0.4005841770815345	2.0085971842597865	0.05761165124859726	24	Smoking_status;Age			CLR(Order:Saccharimonadales) ~ BMI_kg_m2 + Smoking_status + Age	0.08503761561260605	Positive	NS	NS
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Order:Veillonellales-Selenomonadales	-1.609232819459871	0.6540791794312386	-2.4603027738311383	0.022633401271414215	24	Smoking_status;Age			CLR(Order:Veillonellales-Selenomonadales) ~ BMI_kg_m2 + Smoking_status + Age	0.04979348279711127	Negative	p<0.05	p<0.05
PRJNA255332	Order	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Order	1.2395595934225234	0.136815741606855	9.060065595262005	1.0596758760266023e-08	24	Smoking_status;Age			CLR(Unclassified_Order) ~ BMI_kg_m2 + Smoking_status + Age	1.1656434636292626e-07	Positive	p<0.001	p<0.001
