dataset	tax_level	analysis_role	main_variable	main_variable_display	main_variable_type	term	taxon	beta	standard_error	statistic	p_value	n_samples	covariates	cluster_column	reference_group	model_formula	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Phylum:Campylobacterota	0.47666355913563657	0.2032254639003906	2.3454913079655686	0.028901799240954425	24	Smoking_status;BMI_kg_m2			CLR(Phylum:Campylobacterota) ~ Age + Smoking_status + BMI_kg_m2	0.04624287878552708	Positive	p<0.05	p<0.05
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Phylum:Firmicutes	0.5765666093310308	0.15379751037235315	3.7488682874978134	0.0011824647097068042	24	Smoking_status;BMI_kg_m2			CLR(Phylum:Firmicutes) ~ Age + Smoking_status + BMI_kg_m2	0.004729858838827217	Positive	p<0.005	p<0.005
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Phylum:Fusobacteriota	-1.865975764383614	0.2642676978637205	-7.0609301835515055	5.736469360132359e-07	24	Smoking_status;BMI_kg_m2			CLR(Phylum:Fusobacteriota) ~ Age + Smoking_status + BMI_kg_m2	4.589175488105887e-06	Negative	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Phylum:Patescibacteria	1.0803485834614484	0.3677387827274492	2.9378151943852826	0.007860535627621864	24	Smoking_status;BMI_kg_m2			CLR(Phylum:Patescibacteria) ~ Age + Smoking_status + BMI_kg_m2	0.02096142834032497	Positive	p<0.01	p<0.05
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Age	Age	continuous	MAIN_Z	Phylum:Proteobacteria	0.5854777291059895	0.23931205192810906	2.4465033181106604	0.023313643003346977	24	Smoking_status;BMI_kg_m2			CLR(Phylum:Proteobacteria) ~ Age + Smoking_status + BMI_kg_m2	0.04624287878552708	Positive	p<0.05	p<0.05
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Phylum:Actinobacteriota	-1.1116663354295118	0.3288362624794121	-3.380607500667939	0.0028236593813844367	24	Smoking_status;Age			CLR(Phylum:Actinobacteriota) ~ BMI_kg_m2 + Smoking_status + Age	0.004517855010215099	Negative	p<0.005	p<0.005
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Phylum:Firmicutes	0.8090210260322664	0.13145603511055393	6.154308741716449	4.173391813331137e-06	24	Smoking_status;Age			CLR(Phylum:Firmicutes) ~ BMI_kg_m2 + Smoking_status + Age	1.1129044835549698e-05	Positive	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Phylum:Fusobacteriota	-1.930324787803408	0.22587871341253737	-8.545846390925412	2.8131502714237627e-08	24	Smoking_status;Age			CLR(Phylum:Fusobacteriota) ~ BMI_kg_m2 + Smoking_status + Age	2.25052021713901e-07	Negative	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Phylum:Patescibacteria	0.757965862596809	0.3143190173670189	2.411454034649643	0.02512780795454436	24	Smoking_status;Age			CLR(Phylum:Patescibacteria) ~ BMI_kg_m2 + Smoking_status + Age	0.033503743939392476	Positive	p<0.05	p<0.05
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Phylum:Proteobacteria	0.9030637662067734	0.20454826235142576	4.414917808762695	0.00024092431834261803	24	Smoking_status;Age			CLR(Phylum:Proteobacteria) ~ BMI_kg_m2 + Smoking_status + Age	0.00048184863668523605	Positive	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	BMI_kg_m2	BMI kg m2	continuous	MAIN_Z	Unclassified_Phylum	0.8520477893915637	0.12704762826208074	6.706522593510469	1.2304676990215806e-06	24	Smoking_status;Age			CLR(Unclassified_Phylum) ~ BMI_kg_m2 + Smoking_status + Age	4.921870796086323e-06	Positive	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Phylum:Actinobacteriota	-1.6746613937789188	0.18366045141739634	-9.118247183074791	9.508681680169002e-09	24	Age;BMI_kg_m2			CLR(Phylum:Actinobacteriota) ~ Smoking_status + Age + BMI_kg_m2	1.9017363360338004e-08	Negative	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Phylum:Campylobacterota	-0.32655794334367827	0.09701643046607153	-3.3660065802759225	0.0029219826899840582	24	Age;BMI_kg_m2			CLR(Phylum:Campylobacterota) ~ Smoking_status + Age + BMI_kg_m2	0.0033394087885532096	Negative	p<0.005	p<0.005
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Phylum:Firmicutes	1.358743234941808	0.0734203538499864	18.50635639427744	1.7604565715443007e-14	24	Age;BMI_kg_m2			CLR(Phylum:Firmicutes) ~ Smoking_status + Age + BMI_kg_m2	7.041826286177203e-14	Positive	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Phylum:Fusobacteriota	-1.307632158027706	0.1261569699099856	-10.365120206681533	1.0301725137836246e-09	24	Age;BMI_kg_m2			CLR(Phylum:Fusobacteriota) ~ Smoking_status + Age + BMI_kg_m2	2.747126703422999e-09	Negative	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Phylum:Patescibacteria	-1.3743926588695257	0.17555233167848508	-7.828962712877286	1.1624805053935929e-07	24	Age;BMI_kg_m2			CLR(Phylum:Patescibacteria) ~ Smoking_status + Age + BMI_kg_m2	1.8599688086297486e-07	Negative	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Phylum:Proteobacteria	0.7481747232793146	0.11424356278973007	6.548944246918845	1.7366776830073445e-06	24	Age;BMI_kg_m2			CLR(Phylum:Proteobacteria) ~ Smoking_status + Age + BMI_kg_m2	2.3155702440097925e-06	Positive	p<0.001	p<0.001
PRJNA255332	Phylum	OTHER_METADATA_ASSOCIATION	Smoking_status	Smoking status	categorical	MAIN_Yes	Unclassified_Phylum	2.248005726198777	0.07095818624803944	31.68071007819607	3.2504721672979354e-19	24	Age;BMI_kg_m2			CLR(Unclassified_Phylum) ~ Smoking_status + Age + BMI_kg_m2	2.6003777338383483e-18	Positive	p<0.001	p<0.001
