dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Bacteroidales	-0.4156429814487792	0.043386652841109395	24	0.23862659062610167	Negative	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Burkholderiales	0.1440022927854038	0.5020190079083419	24	0.6135787874435289	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Campylobacterales	0.24873123299297023	0.24119224558138588	24	0.530622940279049	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Enterobacterales	-0.21413327953154201	0.31501724414577126	24	0.5724645717618124	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Fusobacteriales	-0.7616225160630611	1.53714410320147e-05	24	0.0001690858513521617	Negative	p<0.001	p<0.001
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Lachnospirales	0.2903422851290122	0.16872541577294015	24	0.530622940279049	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Lactobacillales	0.2627574303421979	0.21480394480330403	24	0.530622940279049	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Peptostreptococcales-Tissierellales	0.05750740913183334	0.789539507605433	24	0.789539507605433	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Saccharimonadales	0.18280810545160028	0.39254956707620703	24	0.5724645717618124	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Veillonellales-Selenomonadales	0.17392484713042278	0.41633787037222725	24	0.5724645717618124	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Unclassified_Order	0.11688497791023038	0.5864972312647819	24	0.6451469543912601	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Bacteroidales	-0.11267711870546207	0.600132917539176	24	0.6601462092930935	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Burkholderiales	0.2898747452173713	0.16944357172656546	24	0.2931546121975257	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Campylobacterales	0.32727793814864503	0.11850357813585051	24	0.2607078718988711	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Enterobacterales	0.33569365655818156	0.1087802245097802	24	0.2607078718988711	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Fusobacteriales	0.12483315640812603	0.561113021962214	24	0.6601462092930935	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Lachnospirales	0.2791213272496301	0.1865529350347891	24	0.2931546121975257	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Lactobacillales	-0.3319533372650542	0.1130265229836699	24	0.2607078718988711	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Peptostreptococcales-Tissierellales	0.15849603004627236	0.4594739878624844	24	0.631776733310916	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Saccharimonadales	0.3735643894010962	0.07215662996147205	24	0.2607078718988711	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Veillonellales-Selenomonadales	-0.35346017320053663	0.09019881294000899	24	0.2607078718988711	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Order	0.03833827275455556	0.8588353613265851	24	0.8588353613265851	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Bacteroidales	-0.43714981738426156	0.03267322044593034	24	0.07188108498104674	Negative	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Burkholderiales	0.41704560118370193	0.0426132317546259	24	0.07812425821681415	Positive	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Campylobacterales	0.5367358185637778	0.006847998395609788	24	0.03516069174721585	Positive	p<0.01	p<0.05
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Enterobacterales	0.19169136377277782	0.3695472282479966	24	0.45166883452532913	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Fusobacteriales	-0.4502409349102074	0.027261436961497142	24	0.07188108498104674	Negative	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Lachnospirales	0.5175666821865	0.009589279567422504	24	0.03516069174721585	Positive	p<0.01	p<0.05
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Lactobacillales	-0.15054785154837672	0.4825689769071002	24	0.5308258745978103	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Peptostreptococcales-Tissierellales	0.21179557997333742	0.3204551362848429	24	0.440625812391659	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Saccharimonadales	0.5353331988288551	0.007023398826282573	24	0.03516069174721585	Positive	p<0.01	p<0.05
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Veillonellales-Selenomonadales	-0.24125059440671548	0.2560976383307587	24	0.40243914594833513	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Unclassified_Order	0.12997609543617616	0.5449564337740143	24	0.5449564337740143	Positive	NS	NS
