dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Bacteroidales	-0.4156429814487792	0.043386652841109395	24	0.23862659062610167	Negative	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Burkholderiales	0.1440022927854038	0.5020190079083419	24	0.6135787874435289	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Campylobacterales	0.24873123299297023	0.24119224558138588	24	0.530622940279049	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Enterobacterales	-0.21413327953154201	0.31501724414577126	24	0.5724645717618124	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Fusobacteriales	-0.7616225160630611	1.53714410320147e-05	24	0.0001690858513521617	Negative	p<0.001	p<0.001
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Lachnospirales	0.2903422851290122	0.16872541577294015	24	0.530622940279049	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Lactobacillales	0.2627574303421979	0.21480394480330403	24	0.530622940279049	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Peptostreptococcales-Tissierellales	0.05750740913183334	0.789539507605433	24	0.789539507605433	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Saccharimonadales	0.18280810545160028	0.39254956707620703	24	0.5724645717618124	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Order:Veillonellales-Selenomonadales	0.17392484713042278	0.41633787037222725	24	0.5724645717618124	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Age	Age	Unclassified_Order	0.11688497791023038	0.5864972312647819	24	0.6451469543912601	Positive	NS	NS
