dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Bacteroidales	-0.43714981738426156	0.03267322044593034	24	0.07188108498104674	Negative	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Burkholderiales	0.41704560118370193	0.0426132317546259	24	0.07812425821681415	Positive	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Campylobacterales	0.5367358185637778	0.006847998395609788	24	0.03516069174721585	Positive	p<0.01	p<0.05
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Enterobacterales	0.19169136377277782	0.3695472282479966	24	0.45166883452532913	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Fusobacteriales	-0.4502409349102074	0.027261436961497142	24	0.07188108498104674	Negative	p<0.05	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Lachnospirales	0.5175666821865	0.009589279567422504	24	0.03516069174721585	Positive	p<0.01	p<0.05
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Lactobacillales	-0.15054785154837672	0.4825689769071002	24	0.5308258745978103	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Peptostreptococcales-Tissierellales	0.21179557997333742	0.3204551362848429	24	0.440625812391659	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Saccharimonadales	0.5353331988288551	0.007023398826282573	24	0.03516069174721585	Positive	p<0.01	p<0.05
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Order:Veillonellales-Selenomonadales	-0.24125059440671548	0.2560976383307587	24	0.40243914594833513	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Unclassified_Order	0.12997609543617616	0.5449564337740143	24	0.5449564337740143	Positive	NS	NS
