dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Bacteroidales	-0.11267711870546207	0.600132917539176	24	0.6601462092930935	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Burkholderiales	0.2898747452173713	0.16944357172656546	24	0.2931546121975257	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Campylobacterales	0.32727793814864503	0.11850357813585051	24	0.2607078718988711	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Enterobacterales	0.33569365655818156	0.1087802245097802	24	0.2607078718988711	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Fusobacteriales	0.12483315640812603	0.561113021962214	24	0.6601462092930935	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Lachnospirales	0.2791213272496301	0.1865529350347891	24	0.2931546121975257	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Lactobacillales	-0.3319533372650542	0.1130265229836699	24	0.2607078718988711	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Peptostreptococcales-Tissierellales	0.15849603004627236	0.4594739878624844	24	0.631776733310916	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Saccharimonadales	0.3735643894010962	0.07215662996147205	24	0.2607078718988711	Positive	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Order:Veillonellales-Selenomonadales	-0.35346017320053663	0.09019881294000899	24	0.2607078718988711	Negative	NS	NS
PRJNA255332	Order	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Order	0.03833827275455556	0.8588353613265851	24	0.8588353613265851	Positive	NS	NS
