dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Actinobacteriota	-0.2851993461009621	0.17674255217678853	24	0.20199148820204402	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Bacteroidota	-0.3735643894010962	0.07215662996147205	24	0.17145938161335395	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Campylobacterota	0.3581355723169458	0.08572969080667697	24	0.17145938161335395	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Firmicutes	0.5502944760013645	0.005332955063329967	24	0.021331820253319866	Positive	p<0.01	p<0.05
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Fusobacteriota	-0.5516970957362873	0.005193711468375675	24	0.021331820253319866	Negative	p<0.01	p<0.05
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Patescibacteria	0.32119991929731306	0.1259097166773831	24	0.19065224727585947	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Phylum:Proteobacteria	0.3081088017713672	0.1429891854568946	24	0.19065224727585947	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Age	Age	Unclassified_Phylum	0.15054785154837672	0.4825689769071002	24	0.4825689769071002	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Actinobacteriota	-0.1393268936689946	0.5161439646739847	24	0.5898788167702682	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Bacteroidota	-0.18280810545160028	0.39254956707620703	24	0.5898788167702682	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Campylobacterota	0.14493737260868564	0.4992170397546162	24	0.5898788167702682	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Firmicutes	-0.11174203888218022	0.6031810738323697	24	0.6031810738323697	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Fusobacteriota	-0.20384740147544175	0.3393672101417221	24	0.5898788167702682	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Patescibacteria	0.35486279293545936	0.08884017682264547	24	0.3553607072905819	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Phylum:Proteobacteria	0.20712018085692818	0.33150082517351553	24	0.5898788167702682	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	BMI_kg_m2	BMI kg m2	Unclassified_Phylum	-0.399279084541347	0.053248032072185536	24	0.3553607072905819	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Actinobacteriota	-0.36561621090320057	0.07892789871527588	24	0.1052371982870345	Negative	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Bacteroidota	-0.47922840943194445	0.01781558389764303	24	0.04750822372704808	Negative	p<0.05	p<0.05
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Campylobacterota	0.42733147923980225	0.03726724525572401	24	0.059627592409158416	Positive	p<0.05	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Firmicutes	0.3024983228316762	0.15079277649834388	24	0.15079277649834388	Positive	NS	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Fusobacteriota	-0.6377244394782169	0.0008012883411498305	24	0.0047680824049830635	Negative	p<0.001	p<0.005
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Patescibacteria	0.6213605425707845	0.0011920206012457659	24	0.0047680824049830635	Positive	p<0.005	p<0.005
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Phylum:Proteobacteria	0.4549163340266165	0.02551285192404812	24	0.05102570384809624	Positive	p<0.05	NS
PRJNA255332	Phylum	METADATA_CORRELATION	Alcohol_days_per_week	Alcohol days per week	Unclassified_Phylum	-0.3076412618597263	0.14362824945899702	24	0.15079277649834388	Negative	NS	NS
